"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.270677938,
"GRC","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.323178562,
"GRC","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.123774608,
"GRC","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.678492799,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.790291376,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.054076259,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.412214327,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.298349768,
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.882491837,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.358366043,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.290651885,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q4",4.06374153,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.284195388,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.296258402,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.239217484,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.525233215,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.232993743,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.110114325,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.443317289,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2022-Q4",1.36596517,"P"
