"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","CPI","TOT","IDX2015","M","2017-12",100.7624,
"GRC","CPI","TOT","IDX2015","M","2018-01",99.10498,
"GRC","CPI","TOT","IDX2015","M","2018-02",99.05471,
"GRC","CPI","TOT","IDX2015","M","2018-03",100.5342,
"GRC","CPI","TOT","IDX2015","M","2018-04",101.4515,
"GRC","CPI","TOT","IDX2015","M","2018-05",101.1223,
"GRC","CPI","TOT","IDX2015","M","2018-06",102.1206,
"GRC","CPI","TOT","IDX2015","M","2018-07",100.301,
"GRC","CPI","TOT","IDX2015","M","2018-08",99.97002,
"GRC","CPI","TOT","IDX2015","M","2018-09",101.9816,
"GRC","CPI","TOT","IDX2015","M","2018-10",102.7695,
"GRC","CPI","TOT","IDX2015","M","2018-11",101.2247,
"GRC","CPI","TOT","IDX2015","M","2018-12",101.3299,
"GRC","CPI","TOT","IDX2015","M","2019-01",99.54,
"GRC","CPI","TOT","IDX2015","M","2019-02",99.6691,
"GRC","CPI","TOT","IDX2015","M","2019-03",101.4823,
"GRC","CPI","TOT","IDX2015","M","2019-04",102.4866,
"GRC","CPI","TOT","IDX2015","M","2019-05",101.3521,
"GRC","CPI","TOT","IDX2015","M","2019-06",101.8369,
"GRC","CPI","TOT","IDX2015","M","2019-07",100.3478,
"GRC","CPI","TOT","IDX2015","M","2019-08",99.79972,
"GRC","CPI","TOT","IDX2015","M","2019-09",101.9057,
"GRC","CPI","TOT","IDX2015","M","2019-10",102.038,
"GRC","CPI","TOT","IDX2015","M","2019-11",101.4502,
"GRC","CPI","TOT","IDX2015","M","2019-12",102.1203,
"GRC","CPI","TOT","IDX2015","M","2020-01",100.3992,
"GRC","CPI","TOT","IDX2015","M","2020-02",99.89766,
"GRC","CPI","TOT","IDX2015","M","2020-03",101.4785,
"GRC","CPI","TOT","IDX2015","M","2020-04",101.0155,
"GRC","CPI","TOT","IDX2015","M","2020-05",100.1945,
"GRC","CPI","TOT","IDX2015","M","2020-06",100.2388,
"GRC","CPI","TOT","IDX2015","M","2020-07",98.53287,
"GRC","CPI","TOT","IDX2015","M","2020-08",97.89494,
"GRC","CPI","TOT","IDX2015","M","2020-09",99.8858,
"GRC","CPI","TOT","IDX2015","M","2020-10",100.2342,
"GRC","CPI","TOT","IDX2015","M","2020-11",99.3552,
"GRC","CPI","TOT","IDX2015","M","2020-12",99.75089,
"GRC","CPI","TOT","IDX2015","M","2021-01",98.42724,
"GRC","CPI","TOT","IDX2015","M","2021-02",98.63056,
"GRC","CPI","TOT","IDX2015","M","2021-03",99.81734,
"GRC","CPI","TOT","IDX2015","M","2021-04",100.7251,
"GRC","CPI","TOT","IDX2015","M","2021-05",100.3314,
"GRC","CPI","TOT","IDX2015","M","2021-06",101.2696,
"GRC","CPI","TOT","IDX2015","M","2021-07",99.86414,
"GRC","CPI","TOT","IDX2015","M","2021-08",99.73395,
"GRC","CPI","TOT","IDX2015","M","2021-09",102.0951,
"GRC","CPI","TOT","IDX2015","M","2021-10",103.6557,
"GRC","CPI","TOT","IDX2015","M","2021-11",104.1469,
"GRC","CPI","TOT","IDX2015","M","2021-12",104.8531,
"GRC","CPI","TOT","IDX2015","M","2022-01",104.5787,
"GRC","CPI","TOT","IDX2015","M","2022-02",105.7458,
"GRC","CPI","TOT","IDX2015","M","2022-03",108.6512,
"GRC","CPI","TOT","IDX2015","M","2022-04",110.9716,
"GRC","CPI","TOT","IDX2015","M","2022-05",111.6983,
"GRC","CPI","TOT","IDX2015","M","2022-06",113.5169,
"GRC","CPI","TOT","IDX2015","M","2022-07",111.4391,
"GRC","CPI","TOT","IDX2015","M","2022-08",111.1074,
"GRC","CPI","TOT","IDX2015","M","2022-09",114.371,
"GRC","CPI","TOT","IDX2015","M","2022-10",113.0521,
"GRC","CPI","TOT","IDX2015","M","2022-11",113.0404,
"GRC","CPI","TOT","IDX2015","M","2022-12",112.4277,
