Date, Open, High, Low, Close
12/30/22, 919.05, 929.90, 919.05, 929.79
12/29/22, 922.74, 923.22, 918.74, 920.82
12/28/22, 922.90, 924.71, 920.60, 923.79
12/27/22, 921.99, 925.62, 921.62, 923.26
12/23/22, 924.01, 926.19, 921.25, 921.25
12/22/22, 924.43, 928.80, 920.81, 924.20
12/21/22, 917.34, 924.46, 917.34, 923.86
12/20/22, 912.70, 917.39, 910.65, 915.51
12/19/22, 909.72, 916.85, 909.72, 916.48
12/16/22, 913.65, 913.65, 902.81, 911.85
12/15/22, 922.78, 925.85, 915.25, 917.10
12/14/22, 922.02, 924.48, 919.13, 923.63
12/13/22, 914.36, 921.46, 913.67, 920.53
12/12/22, 917.05, 917.05, 911.75, 912.94
12/09/22, 916.18, 918.55, 912.79, 915.99
12/08/22, 910.75, 917.83, 910.75, 915.40
12/07/22, 903.80, 913.09, 903.20, 910.29
12/06/22, 904.81, 908.62, 901.50, 904.09
12/05/22, 905.94, 905.94, 893.38, 903.25
12/02/22, 921.85, 922.89, 903.80, 903.97
12/01/22, 916.26, 925.04, 912.48, 922.42
11/30/22, 911.32, 918.46, 908.13, 912.33
11/29/22, 910.17, 912.82, 909.70, 911.91
11/28/22, 915.41, 916.58, 906.74, 907.06
11/25/22, 919.74, 921.23, 914.04, 917.64
11/24/22, 908.21, 919.91, 908.21, 919.78
11/23/22, 900.30, 908.79, 900.30, 906.40
11/22/22, 892.28, 901.14, 891.05, 900.07
11/21/22, 888.31, 891.85, 885.03, 891.81
11/18/22, 884.66, 892.16, 883.91, 889.90
11/17/22, 888.53, 891.88, 879.74, 883.28
11/16/22, 901.98, 901.98, 883.31, 887.09
11/15/22, 900.53, 904.76, 899.69, 903.87
11/14/22, 898.42, 901.18, 895.19, 900.30
11/11/22, 907.35, 910.38, 894.99, 897.78
11/10/22, 888.42, 900.55, 886.51, 898.94
11/09/22, 886.93, 891.81, 880.73, 891.80
11/08/22, 888.98, 894.08, 884.18, 887.54
11/07/22, 877.81, 886.16, 877.81, 885.30
11/04/22, 862.39, 879.21, 862.39, 879.10
11/03/22, 865.91, 867.71, 857.90, 861.76
11/02/22, 870.41, 874.21, 866.83, 874.04
11/01/22, 875.46, 877.03, 865.45, 868.25
10/31/22, 862.60, 874.28, 862.60, 874.27
10/27/22, 861.98, 863.48, 857.47, 860.76
10/26/22, 865.21, 865.87, 859.39, 862.76
10/25/22, 868.06, 868.06, 858.28, 863.35
10/24/22, 857.46, 865.10, 857.46, 866.25
10/21/22, 854.65, 854.99, 847.06, 854.99
10/20/22, 846.26, 854.80, 843.33, 854.80
10/19/22, 848.66, 851.17, 843.61, 848.17
10/18/22, 846.83, 851.87, 845.79, 851.04
10/17/22, 832.91, 843.99, 832.84, 842.64
10/14/22, 825.75, 838.71, 825.75, 832.32
10/13/22, 817.43, 825.98, 806.87, 816.02
10/12/22, 809.11, 820.00, 809.11, 817.55
10/11/22, 813.19, 815.82, 808.92, 808.98
10/10/22, 811.10, 815.62, 804.43, 814.61
10/07/22, 816.63, 821.61, 813.83, 814.06
10/06/22, 822.40, 825.92, 816.68, 816.68
10/05/22, 822.39, 824.46, 818.22, 819.14
10/04/22, 810.35, 823.85, 810.00, 823.09
10/03/22, 792.36, 804.78, 787.23, 804.19
09/30/22, 790.12, 796.18, 789.98, 792.90
09/29/22, 791.92, 796.24, 788.30, 788.46
09/28/22, 793.88, 798.12, 783.06, 791.42
09/27/22, 799.01, 805.35, 798.41, 798.41
09/26/22, 795.00, 801.33, 783.93, 792.73
09/23/22, 816.25, 819.59, 795.76, 798.11
09/22/22, 818.24, 827.12, 817.33, 817.61
09/21/22, 827.22, 829.86, 820.40, 826.32
09/20/22, 836.09, 842.03, 833.79, 833.86
09/19/22, 831.38, 835.25, 827.22, 833.36
09/16/22, 835.44, 838.43, 830.58, 836.17
09/15/22, 839.41, 847.78, 839.23, 839.23
09/14/22, 832.89, 838.85, 832.57, 836.63
09/13/22, 853.30, 854.31, 839.40, 840.81
09/12/22, 845.63, 854.47, 845.63, 849.89
09/09/22, 832.07, 846.04, 832.07, 841.91
09/08/22, 825.32, 831.69, 822.21, 825.96
09/07/22, 828.32, 835.55, 818.79, 822.51
09/06/22, 834.01, 839.87, 828.18, 834.91
09/05/22, 838.82, 838.82, 828.13, 829.34
09/02/22, 846.14, 851.13, 836.58, 844.78
09/01/22, 850.56, 854.71, 842.70, 843.17
08/31/22, 855.65, 860.15, 854.24, 856.36
08/30/22, 871.79, 879.26, 855.70, 855.70
08/29/22, 887.51, 887.87, 864.41, 868.25
08/26/22, 894.78, 895.76, 888.57, 893.74
08/25/22, 896.90, 900.98, 893.75, 896.12
08/24/22, 889.22, 892.99, 881.18, 892.37
08/23/22, 894.66, 897.99, 891.05, 891.46
08/22/22, 899.14, 899.14, 890.98, 896.41
08/19/22, 895.39, 902.37, 892.97, 899.16
08/18/22, 891.26, 897.83, 889.59, 897.63
08/17/22, 892.15, 896.05, 887.92, 894.37
08/16/22, 880.31, 893.25, 880.02, 893.23
08/12/22, 881.14, 881.83, 873.63, 878.76
08/11/22, 880.44, 885.01, 876.42, 882.77
08/10/22, 858.14, 876.46, 858.14, 875.47
08/09/22, 860.51, 865.05, 856.92, 859.52
08/08/22, 848.53, 860.60, 846.94, 860.32
08/05/22, 868.00, 870.22, 847.63, 849.23
08/04/22, 872.53, 876.54, 865.95, 867.51
08/03/22, 868.76, 872.51, 866.37, 870.24
08/02/22, 861.56, 869.92, 857.40, 869.82
08/01/22, 855.30, 868.90, 854.56, 863.81
07/29/22, 843.37, 851.24, 843.37, 851.05
