"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.191813817,
"LVA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.630498681,
"LVA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.070832161,
"LVA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.986960908,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.285755316,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.620646361,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.035989106,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.387627983,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.524137872,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.942597429,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.760761994,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.861892721,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.674429109,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.196587551,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.023433336,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.184364844,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.883074262,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.199998176,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-1.199957362,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",1.199959086,
