"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","CPI","TOT","IDX2015","M","2017-12",103.7569,
"LVA","CPI","TOT","IDX2015","M","2018-01",103.7456,
"LVA","CPI","TOT","IDX2015","M","2018-02",103.9752,
"LVA","CPI","TOT","IDX2015","M","2018-03",105.265,
"LVA","CPI","TOT","IDX2015","M","2018-04",105.4805,
"LVA","CPI","TOT","IDX2015","M","2018-05",105.8033,
"LVA","CPI","TOT","IDX2015","M","2018-06",106.4696,
"LVA","CPI","TOT","IDX2015","M","2018-07",105.614,
"LVA","CPI","TOT","IDX2015","M","2018-08",105.5419,
"LVA","CPI","TOT","IDX2015","M","2018-09",106.2163,
"LVA","CPI","TOT","IDX2015","M","2018-10",106.931,
"LVA","CPI","TOT","IDX2015","M","2018-11",106.8039,
"LVA","CPI","TOT","IDX2015","M","2018-12",106.4038,
"LVA","CPI","TOT","IDX2015","M","2019-01",106.9089,
"LVA","CPI","TOT","IDX2015","M","2019-02",106.9758,
"LVA","CPI","TOT","IDX2015","M","2019-03",108.1824,
"LVA","CPI","TOT","IDX2015","M","2019-04",109.1061,
"LVA","CPI","TOT","IDX2015","M","2019-05",109.344,
"LVA","CPI","TOT","IDX2015","M","2019-06",109.7107,
"LVA","CPI","TOT","IDX2015","M","2019-07",108.6572,
"LVA","CPI","TOT","IDX2015","M","2019-08",108.8734,
"LVA","CPI","TOT","IDX2015","M","2019-09",108.9301,
"LVA","CPI","TOT","IDX2015","M","2019-10",109.3437,
"LVA","CPI","TOT","IDX2015","M","2019-11",109.0625,
"LVA","CPI","TOT","IDX2015","M","2019-12",108.811,
"LVA","CPI","TOT","IDX2015","M","2020-01",109.2358,
"LVA","CPI","TOT","IDX2015","M","2020-02",109.3833,
"LVA","CPI","TOT","IDX2015","M","2020-03",109.7016,
"LVA","CPI","TOT","IDX2015","M","2020-04",109.1467,
"LVA","CPI","TOT","IDX2015","M","2020-05",108.7079,
"LVA","CPI","TOT","IDX2015","M","2020-06",108.9163,
"LVA","CPI","TOT","IDX2015","M","2020-07",109.1799,
"LVA","CPI","TOT","IDX2015","M","2020-08",108.6281,
"LVA","CPI","TOT","IDX2015","M","2020-09",108.655,
"LVA","CPI","TOT","IDX2015","M","2020-10",108.6181,
"LVA","CPI","TOT","IDX2015","M","2020-11",108.3176,
"LVA","CPI","TOT","IDX2015","M","2020-12",108.2719,
"LVA","CPI","TOT","IDX2015","M","2021-01",108.7139,
"LVA","CPI","TOT","IDX2015","M","2021-02",109.1787,
"LVA","CPI","TOT","IDX2015","M","2021-03",110.023,
"LVA","CPI","TOT","IDX2015","M","2021-04",110.971,
"LVA","CPI","TOT","IDX2015","M","2021-05",111.5428,
"LVA","CPI","TOT","IDX2015","M","2021-06",111.8644,
"LVA","CPI","TOT","IDX2015","M","2021-07",112.2728,
"LVA","CPI","TOT","IDX2015","M","2021-08",112.6934,
"LVA","CPI","TOT","IDX2015","M","2021-09",113.8805,
"LVA","CPI","TOT","IDX2015","M","2021-10",115.1769,
"LVA","CPI","TOT","IDX2015","M","2021-11",116.4078,
"LVA","CPI","TOT","IDX2015","M","2021-12",116.8443,
"LVA","CPI","TOT","IDX2015","M","2022-01",116.8101,
"LVA","CPI","TOT","IDX2015","M","2022-02",118.7128,
"LVA","CPI","TOT","IDX2015","M","2022-03",122.6502,
"LVA","CPI","TOT","IDX2015","M","2022-04",125.3879,
"LVA","CPI","TOT","IDX2015","M","2022-05",130.3442,
"LVA","CPI","TOT","IDX2015","M","2022-06",133.5006,
"LVA","CPI","TOT","IDX2015","M","2022-07",136.4238,
"LVA","CPI","TOT","IDX2015","M","2022-08",136.9766,
"LVA","CPI","TOT","IDX2015","M","2022-09",139.1322,
"LVA","CPI","TOT","IDX2015","M","2022-10",140.2357,
"LVA","CPI","TOT","IDX2015","M","2022-11",141.8275,
"LVA","CPI","TOT","IDX2015","M","2022-12",141.1822,
