"date","conf","status1","s1"
"2001-01-31","","Normal value",7.64
"2001-02-28","","Normal value",7.82
"2001-03-31","","Normal value",7.9
"2001-04-30","","Normal value",7.9
"2001-05-31","","Normal value",7.54
"2001-06-30","","Normal value",7.6
"2001-07-31","","Normal value",7.75
"2001-08-31","","Normal value",7.66
"2001-09-30","","Normal value",7.58
"2001-10-31","","Normal value",7.48
"2001-11-30","","Normal value",7.08
"2001-12-31","","Normal value",6.93
"2002-01-31","","Normal value",6.35
"2002-02-28","","Normal value",5.98
"2002-03-31","","Normal value",5.8
"2002-04-30","","Normal value",5.78
"2002-05-31","","Normal value",5.59
"2002-06-30","","Normal value",5.38
"2002-07-31","","Normal value",5.34
"2002-08-31","","Normal value",5.34
"2002-09-30","","Normal value",5.14
"2002-10-31","","Normal value",4.88
"2002-11-30","","Normal value",4.79
"2002-12-31","","Normal value",4.53
"2003-01-31","","Normal value",4.62
"2003-02-28","","Normal value",4.77
"2003-03-31","","Normal value",4.99
"2003-04-30","","Normal value",4.99
"2003-05-31","","Normal value",4.95
"2003-06-30","","Normal value",4.89
"2003-07-31","","Normal value",4.78
"2003-08-31","","Normal value",4.8
"2003-09-30","","Normal value",4.96
"2003-10-31","","Normal value",4.98
"2003-11-30","","Normal value",5.01
"2003-12-31","","Normal value",5.07
"2004-01-31","","Normal value",5.06
"2004-02-29","","Normal value",5.05
"2004-03-31","","Normal value",4.98
"2004-04-30","","Normal value",4.89
"2004-05-31","","Normal value",4.95
"2004-06-30","","Normal value",4.93
"2004-07-31","","Normal value",4.89
"2004-08-31","","Normal value",4.88
"2004-09-30","","Normal value",4.87
"2004-10-31","","Normal value",4.63
"2004-11-30","","Normal value",4.58
"2004-12-31","","Normal value",4.58
"2005-01-31","","Normal value",4.29
"2005-02-28","","Normal value",4.03
"2005-03-31","","Normal value",3.94
"2005-04-30","","Normal value",3.87
"2005-05-31","","Normal value",3.87
"2005-06-30","","Normal value",3.87
"2005-07-31","","Normal value",3.87
"2005-08-31","","Normal value",3.87
"2005-09-30","","Normal value",3.87
"2005-10-31","","Normal value",3.87
"2005-11-30","","Normal value",3.56
"2005-12-31","","Normal value",3.59
"2006-01-31","","Normal value",3.6
"2006-02-28","","Normal value",3.6
"2006-03-31","","Normal value",3.6
"2006-04-30","","Normal value",3.6
"2006-05-31","","Normal value",3.6
"2006-06-30","","Normal value",4.14
"2006-07-31","","Normal value",4.32
"2006-08-31","","Normal value",4.36
"2006-09-30","","Normal value",4.38
"2006-10-31","","Normal value",4.55
"2006-11-30","","Normal value",4.95
"2006-12-31","","Normal value",4.9
"2007-01-31","","Normal value",4.92
"2007-02-28","","Normal value",5.07
"2007-03-31","","Normal value",5.14
"2007-04-30","","Normal value",5.52
"2007-05-31","","Normal value",6.03
"2007-06-30","","Normal value",5.62
"2007-07-31","","Normal value",5.28
"2007-08-31","","Normal value",5.32
"2007-09-30","","Normal value",5.21
"2007-10-31","","Normal value",5.06
"2007-11-30","","Normal value",5.12
"2007-12-31","","Normal value",5.1
"2008-01-31","","Normal value",5.71
"2008-02-29","","Normal value",5.11
"2008-03-31","","Normal value",5.25
"2008-04-30","","Normal value",5.93
"2008-05-31","","Normal value",5.93
"2008-06-30","","Normal value",6.25
"2008-07-31","","Normal value",6.57
"2008-08-31","","Normal value",6.6
"2008-09-30","","Normal value",6.6
"2008-10-31","","Normal value",6.6
"2008-11-30","","Normal value",7.6
"2008-12-31","","Normal value",9.03
"2009-01-31","","Normal value",10.64
"2009-02-28","","Normal value",11.5
"2009-03-31","","Normal value",11.32
"2009-04-30","","Normal value",11.15
"2009-05-31","","Normal value",11.09
"2009-06-30","","Normal value",12.75
"2009-07-31","","Normal value",12.75
"2009-08-31","","Normal value",12.81
"2009-09-30","","Normal value",13.27
"2009-10-31","","Normal value",13.51
"2009-11-30","","Normal value",13.75
"2009-12-31","","Normal value",13.75
"2010-01-31","","Normal value",13.76
"2010-02-28","","Normal value",13.62
"2010-03-31","","Normal value",10.54
"2010-04-30","","Normal value",10.13
"2010-05-31","","Normal value",10.13
"2010-06-30","","Normal value",10.12
"2010-07-31","","Normal value",10
"2010-08-31","","Normal value",10
"2010-09-30","","Normal value",9.97
"2010-10-31","","Normal value",9.24
"2010-11-30","","Normal value",8.99
"2010-12-31","","Normal value",7.55
"2011-01-31","","Normal value",5.38
"2011-02-28","","Normal value",6.17
"2011-03-31","","Normal value",6.49
"2011-04-30","","Normal value",6.47
"2011-05-31","","Normal value",6.36
"2011-06-30","","Normal value",5.87
"2011-07-31","","Normal value",5.67
"2011-08-31","","Normal value",5.6
"2011-09-30","","Normal value",5.6
"2011-10-31","","Normal value",5.62
"2011-11-30","","Normal value",5.73
"2011-12-31","","Normal value",5.93
"2012-01-31","","Normal value",5.74
"2012-02-29","","Normal value",5.45
"2012-03-31","","Normal value",5.15
"2012-04-30","","Normal value",5.1
"2012-05-31","","Normal value",5.15
"2012-06-30","","Normal value",5.07
"2012-07-31","","Normal value",4.67
"2012-08-31","","Normal value",4.45
"2012-09-30","","Normal value",3.92
"2012-10-31","","Normal value",3.52
"2012-11-30","","Normal value",3.32
"2012-12-31","","Normal value",3.24
"2013-01-31","","Normal value",3.21
"2013-02-28","","Normal value",3.22
"2013-03-31","","Normal value",3.17
"2013-04-30","","Normal value",3.15
"2013-05-31","","Normal value",3.1
"2013-06-30","","Normal value",3.17
"2013-07-31","","Normal value",3.25
"2013-08-31","","Normal value",3.25
"2013-09-30","","Normal value",3.45
"2013-10-31","","Normal value",3.78
"2013-11-30","","Normal value",3.71
"2013-12-31","","Normal value",3.62
"2014-01-31","","Normal value",3.48
"2014-02-28","","Normal value",3.07
"2014-03-31","","Normal value",2.87
"2014-04-30","","Normal value",2.8
"2014-05-31","","Normal value",2.74
"2014-06-30","","Normal value",2.53
"2014-07-31","","Normal value",2.4
"2014-08-31","","Normal value",2.35
"2014-09-30","","Normal value",2.28
"2014-10-31","","Normal value",2.18
"2014-11-30","","Normal value",1.77
"2014-12-31","","Normal value",1.63
"2015-01-31","","Normal value",1.1
"2015-02-28","","Normal value",0.78
"2015-03-31","","Normal value",0.56
"2015-04-30","","Normal value",0.42
"2015-05-31","","Normal value",0.84
"2015-06-30","","Normal value",1.28
"2015-07-31","","Normal value",1.25
"2015-08-31","","Normal value",0.96
"2015-09-30","","Normal value",1.03
"2015-10-31","","Normal value",1.07
"2015-11-30","","Normal value",1.19
"2015-12-31","","Normal value",1.08
"2016-01-31","","Normal value",1.05
"2016-02-29","","Normal value",0.88
"2016-03-31","","Normal value",0.71
"2016-04-30","","Normal value",0.61
"2016-05-31","","Normal value",0.51
"2016-06-30","","Normal value",0.48
"2016-07-31","","Normal value",0.3
"2016-08-31","","Normal value",0.12
"2016-09-30","","Normal value",0.1
"2016-10-31","","Normal value",0.19
"2016-11-30","","Normal value",0.56
"2016-12-31","","Normal value",0.9
"2017-01-31","","Normal value",0.89
"2017-02-28","","Normal value",0.99
"2017-03-31","","Normal value",0.94
"2017-04-30","","Normal value",0.92
"2017-05-31","","Normal value",0.88
"2017-06-30","","Normal value",0.85
"2017-07-31","","Normal value",0.98
"2017-08-31","","Normal value",0.85
"2017-09-30","","Normal value",0.72
"2017-10-31","","Normal value",0.71
"2017-11-30","","Normal value",0.69
"2017-12-31","","Normal value",0.59
"2018-01-31","","Normal value",0.6
"2018-02-28","","Normal value",0.75
"2018-03-31","","Normal value",0.83
"2018-04-30","","Normal value",0.8
"2018-05-31","","Normal value",0.86
"2018-06-30","","Normal value",0.93
"2018-07-31","","Normal value",1.06
"2018-08-31","","Normal value",0.95
"2018-09-30","","Normal value",0.94
"2018-10-31","","Normal value",1.01
"2018-11-30","","Normal value",1.05
"2018-12-31","","Normal value",1.05
"2019-01-31","","Normal value",0.95
"2019-02-28","","Normal value",0.81
"2019-03-31","","Normal value",0.7
"2019-04-30","","Normal value",0.58
"2019-05-31","","Normal value",0.51
"2019-06-30","","Normal value",0.33
"2019-07-31","","Normal value",0.15
"2019-08-31","","Normal value",-0.07
"2019-09-30","","Normal value",-0.11
"2019-10-31","","Normal value",0
"2019-11-30","","Normal value",0.1
"2019-12-31","","Normal value",0.16
"2020-01-31","","Normal value",0.11
"2020-02-29","","Normal value",-0.04
"2020-03-31","","Normal value",-0.06
"2020-04-30","","Normal value",0.3
"2020-05-31","","Normal value",0.26
"2020-06-30","","Normal value",0.01
"2020-07-31","","Normal value",-0.17
"2020-08-31","","Normal value",-0.19
"2020-09-30","","Normal value",-0.2
"2020-10-31","","Normal value",-0.23
