"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,152.80","1,153.74","1,156.05","1,145.78","","-0.08%"
"12/29/2022","1,153.74","1,132.47","1,153.74","1,132.01","","1.94%"
"12/28/2022","1,131.79","1,157.29","1,157.29","1,131.79","","-2.24%"
"12/27/2022","1,157.67","1,147.14","1,158.27","1,125.33","","1.50%"
"12/23/2022","1,140.61","1,147.82","1,147.82","1,127.49","","0.99%"
"12/22/2022","1,129.42","1,161.36","1,162.42","1,129.42","","-2.60%"
"12/21/2022","1,159.54","1,154.96","1,161.75","1,154.96","","0.57%"
"12/20/2022","1,152.95","1,154.69","1,160.75","1,152.15","","-0.15%"
"12/19/2022","1,154.69","1,163.28","1,163.51","1,153.98","","-0.57%"
"12/16/2022","1,161.29","1,159.23","1,161.81","1,153.96","","0.47%"
"12/15/2022","1,155.81","1,156.49","1,166.13","1,155.81","","-0.08%"
"12/14/2022","1,156.76","1,150.98","1,176.75","1,149.46","","0.50%"
"12/13/2022","1,150.98","1,153.07","1,163.34","1,144.96","","-0.18%"
"12/12/2022","1,153.07","1,132.13","1,164.20","1,132.13","","1.89%"
"12/09/2022","1,131.69","1,134.70","1,149.70","1,130.25","","-0.26%"
"12/08/2022","1,134.61","1,137.32","1,137.32","1,130.50","","-0.22%"
"12/07/2022","1,137.09","1,125.68","1,143.77","1,125.39","","0.60%"
"12/06/2022","1,130.35","1,119.86","1,131.62","1,119.31","","0.95%"
"12/05/2022","1,119.76","1,115.14","1,119.78","1,112.70","","0.38%"
"12/02/2022","1,115.47","1,113.28","1,120.70","1,108.27","","0.16%"
"12/01/2022","1,113.65","1,113.36","1,119.04","1,106.10","","-0.14%"
"11/30/2022","1,115.21","1,109.89","1,115.43","1,109.89","","0.56%"
"11/29/2022","1,108.98","1,111.68","1,111.68","1,102.76","","-0.24%"
"11/28/2022","1,111.68","1,099.31","1,111.68","1,099.31","","0.16%"
"11/25/2022","1,109.92","1,112.60","1,114.44","1,095.60","","-0.22%"
"11/24/2022","1,112.38","1,112.28","1,112.38","1,110.20","","0.09%"
"11/23/2022","1,111.38","1,109.83","1,114.73","1,108.78","","0.16%"
"11/22/2022","1,109.61","1,108.11","1,110.11","1,104.12","","0.03%"
"11/21/2022","1,109.23","1,106.45","1,109.88","1,106.27","","0.24%"
"11/17/2022","1,106.55","1,106.12","1,107.82","1,103.94","","0.21%"
"11/16/2022","1,104.26","1,105.74","1,106.21","1,101.44","","-0.25%"
"11/15/2022","1,107.02","1,102.19","1,107.02","1,101.20","","0.30%"
"11/14/2022","1,103.73","1,109.08","1,109.48","1,103.36","","-0.18%"
"11/11/2022","1,105.74","1,112.10","1,113.66","1,104.52","","-0.58%"
"11/10/2022","1,112.17","1,097.91","1,114.16","1,096.43","","0.68%"
"11/09/2022","1,104.66","1,103.28","1,105.00","1,101.60","","1.37%"
"11/08/2022","1,089.77","1,083.55","1,100.28","1,083.32","","-0.33%"
"11/07/2022","1,093.42","1,087.55","1,100.70","1,080.87","","-0.52%"
"11/04/2022","1,099.15","1,104.64","1,105.30","1,093.64","","-0.50%"
"11/03/2022","1,104.64","1,095.33","1,105.99","1,095.33","","1.06%"
"11/02/2022","1,093.02","1,084.24","1,093.02","1,073.38","","0.74%"
"11/01/2022","1,085.03","1,063.90","1,085.51","1,063.90","","2.17%"
"10/31/2022","1,062.00","1,062.85","1,063.53","1,056.87","","-0.03%"
"10/28/2022","1,062.31","1,067.64","1,067.64","1,062.12","","-0.50%"
"10/27/2022","1,067.64","1,067.96","1,069.56","1,066.18","","0.01%"
"10/26/2022","1,067.51","1,066.50","1,072.08","1,066.50","","0.00%"
"10/25/2022","1,067.48","1,064.18","1,067.48","1,058.36","","0.17%"
"10/24/2022","1,065.62","1,064.32","1,066.80","1,063.80","","0.12%"
"10/21/2022","1,064.32","1,063.30","1,067.31","1,063.30","","0.09%"
"10/20/2022","1,063.41","1,066.21","1,068.51","1,063.41","","-0.35%"
"10/19/2022","1,067.12","1,068.45","1,068.82","1,064.85","","-0.07%"
"10/18/2022","1,067.90","1,069.77","1,077.23","1,066.92","","0.22%"
"10/17/2022","1,065.58","1,069.40","1,072.39","1,065.58","","-2.01%"
"10/14/2022","1,087.46","1,081.14","1,089.89","1,081.14","","1.04%"
"10/13/2022","1,076.25","1,079.75","1,087.39","1,071.06","","-0.37%"
"10/12/2022","1,080.25","1,081.11","1,084.66","1,050.22","","-0.05%"
"10/11/2022","1,080.84","1,083.09","1,092.44","1,074.11","","0.53%"
"10/10/2022","1,075.12","1,090.39","1,093.33","1,074.81","","-1.38%"
"10/07/2022","1,090.17","1,069.96","1,090.98","1,068.85","","1.89%"
"10/06/2022","1,069.96","1,058.86","1,089.99","1,058.64","","0.29%"
"10/05/2022","1,066.86","1,059.30","1,067.37","1,058.71","","0.78%"
"10/04/2022","1,058.64","1,061.76","1,069.02","1,058.64","","-0.38%"
"10/03/2022","1,062.70","1,067.07","1,067.38","1,062.51","","-0.32%"
"09/30/2022","1,066.16","1,077.69","1,084.71","1,064.39","","1.04%"
"09/29/2022","1,055.21","1,051.02","1,081.89","1,051.02","","0.40%"
"09/28/2022","1,051.02","1,083.71","1,083.80","1,051.02","","-3.02%"
"09/27/2022","1,083.76","1,083.81","1,086.67","1,080.23","","0.00%"
"09/26/2022","1,083.81","1,043.76","1,088.10","1,043.76","","-0.24%"
"09/23/2022","1,086.41","1,102.00","1,102.00","1,085.77","","-1.36%"
"09/22/2022","1,101.42","1,094.75","1,101.42","1,086.78","","0.49%"
"09/21/2022","1,096.09","1,095.25","1,102.07","1,090.86","","0.04%"
"09/20/2022","1,095.61","1,098.31","1,101.25","1,094.06","","-0.32%"
"09/19/2022","1,099.09","1,111.50","1,111.50","1,099.09","","-1.51%"
"09/16/2022","1,115.91","1,115.04","1,119.32","1,112.99","","-0.06%"
"09/15/2022","1,116.56","1,120.73","1,121.78","1,112.01","","-0.33%"
"09/14/2022","1,120.23","1,119.43","1,120.60","1,118.11","","0.11%"
"09/13/2022","1,118.96","1,111.59","1,119.04","1,110.62","","0.65%"
"09/12/2022","1,111.74","1,100.68","1,114.20","1,100.68","","1.01%"
"09/09/2022","1,100.61","1,110.68","1,111.32","1,100.61","","-0.89%"
"09/08/2022","1,110.46","1,110.41","1,114.65","1,109.12","","0.06%"
"09/07/2022","1,109.74","1,106.61","1,111.03","1,095.35","","0.18%"
"09/06/2022","1,107.73","1,106.01","1,112.24","1,100.45","","0.22%"
"09/05/2022","1,105.28","1,095.62","1,116.98","1,094.49","","-1.45%"
"09/02/2022","1,121.54","1,115.90","1,125.09","1,093.36","","0.05%"
"09/01/2022","1,120.97","1,103.99","1,124.01","1,103.99","","3.03%"
"08/31/2022","1,087.99","1,099.11","1,109.49","1,048.47","","-2.71%"
"08/30/2022","1,118.28","1,131.34","1,132.22","1,097.80","","-0.53%"
"08/29/2022","1,124.20","1,132.14","1,134.98","1,104.45","","-0.79%"
"08/26/2022","1,133.10","1,133.98","1,135.54","1,123.41","","0.06%"
"08/25/2022","1,132.47","1,136.19","1,137.27","1,118.61","","-0.33%"
"08/24/2022","1,136.19","1,129.23","1,136.19","1,126.10","","0.71%"
"08/23/2022","1,128.21","1,123.50","1,129.04","1,120.73","","0.31%"
"08/22/2022","1,124.75","1,140.57","1,140.98","1,117.94","","-1.82%"
"08/19/2022","1,145.57","1,146.21","1,146.96","1,135.68","","-0.06%"
"08/18/2022","1,146.21","1,145.27","1,147.46","1,142.86","","1.04%"
"08/17/2022","1,134.40","1,143.53","1,145.46","1,134.40","","0.25%"
"08/16/2022","1,131.53","1,134.68","1,143.42","1,131.53","","-1.18%"
"08/15/2022","1,145.04","1,133.31","1,146.50","1,129.89","","0.80%"
"08/12/2022","1,135.98","1,146.41","1,148.00","1,135.60","","-0.73%"
"08/11/2022","1,144.34","1,156.35","1,156.35","1,142.69","","0.25%"
