"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LTU","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.957229801,
"LTU","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.223678482,
"LTU","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.379053572,
"LTU","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.470920784,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.440882901,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.387521569,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.209191548,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.283051171,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.305022596,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.259967582,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.067886048,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.278560009,
"LTU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.763489842,
"LTU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.494910597,
"LTU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.519930427,
"LTU","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.265391449,
"LTU","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.178306115,
"LTU","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.718952252,
"LTU","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.653360882,
"LTU","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.490592855,
