"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LTU","CPI","TOT","IDX2015","M","2017-12",106.0629,
"LTU","CPI","TOT","IDX2015","M","2018-01",106.4272,
"LTU","CPI","TOT","IDX2015","M","2018-02",106.244,
"LTU","CPI","TOT","IDX2015","M","2018-03",106.6236,
"LTU","CPI","TOT","IDX2015","M","2018-04",107.2826,
"LTU","CPI","TOT","IDX2015","M","2018-05",107.7081,
"LTU","CPI","TOT","IDX2015","M","2018-06",107.7014,
"LTU","CPI","TOT","IDX2015","M","2018-07",107.1698,
"LTU","CPI","TOT","IDX2015","M","2018-08",106.7647,
"LTU","CPI","TOT","IDX2015","M","2018-09",108.1927,
"LTU","CPI","TOT","IDX2015","M","2018-10",108.8846,
"LTU","CPI","TOT","IDX2015","M","2018-11",108.7566,
"LTU","CPI","TOT","IDX2015","M","2018-12",108.0746,
"LTU","CPI","TOT","IDX2015","M","2019-01",108.2849,
"LTU","CPI","TOT","IDX2015","M","2019-02",108.4233,
"LTU","CPI","TOT","IDX2015","M","2019-03",109.4406,
"LTU","CPI","TOT","IDX2015","M","2019-04",110.323,
"LTU","CPI","TOT","IDX2015","M","2019-05",110.5792,
"LTU","CPI","TOT","IDX2015","M","2019-06",110.3661,
"LTU","CPI","TOT","IDX2015","M","2019-07",110.0142,
"LTU","CPI","TOT","IDX2015","M","2019-08",109.5784,
"LTU","CPI","TOT","IDX2015","M","2019-09",110.5867,
"LTU","CPI","TOT","IDX2015","M","2019-10",110.6717,
"LTU","CPI","TOT","IDX2015","M","2019-11",110.6553,
"LTU","CPI","TOT","IDX2015","M","2019-12",111.0177,
"LTU","CPI","TOT","IDX2015","M","2020-01",111.501,
"LTU","CPI","TOT","IDX2015","M","2020-02",111.4443,
"LTU","CPI","TOT","IDX2015","M","2020-03",111.3606,
"LTU","CPI","TOT","IDX2015","M","2020-04",111.451,
"LTU","CPI","TOT","IDX2015","M","2020-05",110.911,
"LTU","CPI","TOT","IDX2015","M","2020-06",111.477,
"LTU","CPI","TOT","IDX2015","M","2020-07",111.1681,
"LTU","CPI","TOT","IDX2015","M","2020-08",110.9607,
"LTU","CPI","TOT","IDX2015","M","2020-09",111.4091,
"LTU","CPI","TOT","IDX2015","M","2020-10",111.4826,
"LTU","CPI","TOT","IDX2015","M","2020-11",111.3244,
"LTU","CPI","TOT","IDX2015","M","2020-12",111.2892,
"LTU","CPI","TOT","IDX2015","M","2021-01",111.8332,
"LTU","CPI","TOT","IDX2015","M","2021-02",112.075,
"LTU","CPI","TOT","IDX2015","M","2021-03",113.1832,
"LTU","CPI","TOT","IDX2015","M","2021-04",114.236,
"LTU","CPI","TOT","IDX2015","M","2021-05",114.8849,
"LTU","CPI","TOT","IDX2015","M","2021-06",115.5194,
"LTU","CPI","TOT","IDX2015","M","2021-07",116.3401,
"LTU","CPI","TOT","IDX2015","M","2021-08",116.8061,
"LTU","CPI","TOT","IDX2015","M","2021-09",118.4514,
"LTU","CPI","TOT","IDX2015","M","2021-10",120.4154,
"LTU","CPI","TOT","IDX2015","M","2021-11",121.5544,
"LTU","CPI","TOT","IDX2015","M","2021-12",123.0417,
"LTU","CPI","TOT","IDX2015","M","2022-01",125.7127,
"LTU","CPI","TOT","IDX2015","M","2022-02",127.9733,
"LTU","CPI","TOT","IDX2015","M","2022-03",130.981,
"LTU","CPI","TOT","IDX2015","M","2022-04",133.4713,
"LTU","CPI","TOT","IDX2015","M","2022-05",136.5965,
"LTU","CPI","TOT","IDX2015","M","2022-06",139.7608,
"LTU","CPI","TOT","IDX2015","M","2022-07",141.4896,
"LTU","CPI","TOT","IDX2015","M","2022-08",142.9273,
"LTU","CPI","TOT","IDX2015","M","2022-09",147.0213,
"LTU","CPI","TOT","IDX2015","M","2022-10",148.7797,
"LTU","CPI","TOT","IDX2015","M","2022-11",149.3831,
"LTU","CPI","TOT","IDX2015","M","2022-12",149.7879,
