"date","conf","status1","s1"
"2001-01-31","","Normal value",9.31
"2001-02-28","","Normal value",9.77
"2001-03-31","","Normal value",8.64
"2001-04-30","","Normal value",8.5
"2001-05-31","","Normal value",8.46
"2001-06-30","","Normal value",8.46
"2001-07-31","","Normal value",8.46
"2001-08-31","","Normal value",8.01
"2001-09-30","","Normal value",7.99
"2001-10-31","","Normal value",7.62
"2001-11-30","","Normal value",6.28
"2001-12-31","","Normal value",6.34
"2002-01-31","","Normal value",6.47
"2002-02-28","","Normal value",6.43
"2002-03-31","","Normal value",5.92
"2002-04-30","","Normal value",6.15
"2002-05-31","","Normal value",6.15
"2002-06-30","","Normal value",6.1
"2002-07-31","","Normal value",6
"2002-08-31","","Normal value",6
"2002-09-30","","Normal value",5.92
"2002-10-31","","Normal value",5.87
"2002-11-30","","Normal value",5.87
"2002-12-31","","Normal value",5.87
"2003-01-31","","Normal value",5.85
"2003-02-28","","Normal value",5.67
"2003-03-31","","Normal value",5.67
"2003-04-30","","Normal value",5.65
"2003-05-31","","Normal value",5.63
"2003-06-30","","Normal value",5.5
"2003-07-31","","Normal value",5.38
"2003-08-31","","Normal value",5.04
"2003-09-30","","Normal value",5.04
"2003-10-31","","Normal value",4.82
"2003-11-30","","Normal value",4.81
"2003-12-31","","Normal value",4.81
"2004-01-31","","Normal value",4.81
"2004-02-29","","Normal value",4.81
"2004-03-31","","Normal value",4.64
"2004-04-30","","Normal value",4.55
"2004-05-31","","Normal value",4.46
"2004-06-30","","Normal value",4.47
"2004-07-31","","Normal value",4.58
"2004-08-31","","Normal value",4.57
"2004-09-30","","Normal value",4.56
"2004-10-31","","Normal value",4.38
"2004-11-30","","Normal value",4.25
"2004-12-31","","Normal value",3.95
"2005-01-31","","Normal value",3.85
"2005-02-28","","Normal value",3.8
"2005-03-31","","Normal value",3.73
"2005-04-30","","Normal value",3.82
"2005-05-31","","Normal value",3.87
"2005-06-30","","Normal value",3.78
"2005-07-31","","Normal value",3.61
"2005-08-31","","Normal value",3.5
"2005-09-30","","Normal value",3.5
"2005-10-31","","Normal value",3.5
"2005-11-30","","Normal value",3.63
