"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","947.14","947.14","947.14","947.14","","0.03%"
"12/29/2022","946.82","946.82","946.82","946.82","","0.45%"
"12/28/2022","942.62","942.62","942.62","942.62","","-0.47%"
"12/27/2022","947.11","947.11","947.11","947.11","","-0.13%"
"12/23/2022","948.34","948.34","948.34","948.34","","-0.04%"
"12/22/2022","948.69","948.69","948.69","948.69","","0.46%"
"12/21/2022","944.34","944.34","944.34","944.34","","-0.44%"
"12/20/2022","948.47","948.47","948.47","948.47","","-0.21%"
"12/19/2022","950.44","950.44","950.44","950.44","","-0.39%"
"12/16/2022","954.15","954.15","954.15","954.15","","-0.32%"
"12/15/2022","957.23","957.23","957.23","957.23","","-0.15%"
"12/14/2022","958.66","958.66","958.66","958.66","","0.03%"
"12/13/2022","958.41","958.41","958.41","958.41","","0.08%"
"12/12/2022","957.63","957.63","957.63","957.63","","0.42%"
"12/09/2022","953.61","953.61","953.61","953.61","","-0.18%"
"12/08/2022","955.33","955.33","955.33","955.33","","0.32%"
"12/07/2022","952.29","952.29","952.29","952.29","","0.12%"
"12/06/2022","951.18","951.18","951.18","951.18","","0.10%"
"12/05/2022","950.20","950.20","950.20","950.20","","0.26%"
"12/02/2022","947.78","947.78","947.78","947.78","","-0.29%"
"12/01/2022","950.51","950.51","950.51","950.51","","0.46%"
"11/30/2022","946.12","939.11","946.12","938.21","","0.80%"
"11/29/2022","938.65","934.73","939.03","934.39","","0.51%"
"11/28/2022","933.86","934.56","935.82","932.13","","0.20%"
"11/25/2022","931.95","931.95","931.95","931.95","","-0.62%"
"11/24/2022","937.72","937.72","937.72","937.72","","0.16%"
"11/23/2022","936.25","935.24","938.97","934.43","","0.58%"
"11/22/2022","930.83","927.01","931.15","924.45","","0.79%"
"11/21/2022","923.55","923.30","923.68","921.13","","0.17%"
"11/18/2022","922.00","918.69","922.89","918.69","","0.32%"
"11/17/2022","919.04","919.04","919.04","919.04","","0.25%"
"11/16/2022","916.77","917.51","918.47","914.37","","-0.19%"
"11/15/2022","918.55","912.67","919.80","912.67","","0.61%"
"11/14/2022","913.00","913.00","913.00","913.00","","0.13%"
"11/11/2022","911.85","911.85","911.85","911.85","","0.45%"
"11/10/2022","907.76","905.13","908.10","904.64","","0.31%"
"11/09/2022","904.96","904.96","904.96","904.96","","-0.32%"
"11/08/2022","907.88","905.83","907.98","905.16","","0.19%"
"11/07/2022","906.15","907.78","907.92","905.32","","0.01%"
"11/04/2022","906.05","904.99","908.15","904.57","","0.19%"
"11/03/2022","904.37","903.52","905.47","903.34","","0.11%"
"10/31/2022","903.35","904.80","905.07","902.26","","0.04%"
"10/28/2022","902.99","903.90","904.34","902.08","","-0.10%"
"10/27/2022","903.90","903.90","903.90","903.90","","0.20%"
"10/26/2022","902.07","901.37","902.64","900.45","","0.13%"
"10/25/2022","900.93","903.08","903.25","899.66","","-0.16%"
"10/24/2022","902.35","899.23","903.10","899.15","","0.50%"
"10/21/2022","897.88","899.50","899.73","896.52","","-0.12%"
"10/20/2022","899.00","899.00","899.00","899.00","","-0.22%"
"10/19/2022","901.00","901.00","901.00","901.00","","-0.28%"
"10/18/2022","903.50","903.50","903.50","903.50","","0.26%"
"10/17/2022","901.19","901.19","901.19","901.19","","0.14%"
"10/14/2022","899.96","899.96","899.96","899.96","","-0.05%"
"10/13/2022","900.41","900.41","900.41","900.41","","0.00%"
"10/12/2022","900.45","900.45","900.45","900.45","","0.29%"
"10/11/2022","897.86","897.86","897.86","897.86","","-0.13%"
"10/10/2022","899.03","899.03","899.03","899.03","","-0.06%"
"10/07/2022","899.56","899.56","899.56","899.56","","-0.01%"
"10/06/2022","899.63","899.63","899.63","899.63","","0.12%"
"10/05/2022","898.57","898.57","898.57","898.57","","0.13%"
"10/04/2022","897.37","897.37","897.37","897.37","","-0.05%"
"10/03/2022","897.85","897.85","897.85","897.85","","0.34%"
"09/30/2022","894.83","894.83","894.83","894.83","","-0.35%"
"09/29/2022","897.97","897.97","897.97","897.97","","0.50%"
"09/28/2022","893.53","893.53","893.53","893.53","","-0.58%"
"09/27/2022","898.72","898.72","898.72","898.72","","0.08%"
"09/26/2022","898.02","898.02","898.02","898.02","","-0.32%"
"09/23/2022","900.86","900.86","900.86","900.86","","-0.53%"
"09/22/2022","905.64","905.64","905.64","905.64","","0.06%"
"09/21/2022","905.08","905.08","905.08","905.08","","-0.63%"
"09/20/2022","910.78","910.78","910.78","910.78","","0.02%"
"09/19/2022","910.60","910.60","910.60","910.60","","-0.15%"
"09/16/2022","912.01","912.01","912.01","912.01","","0.04%"
"09/15/2022","911.63","911.63","911.63","911.63","","0.06%"
"09/14/2022","911.07","911.07","911.07","911.07","","-0.30%"
"09/13/2022","913.85","913.85","913.85","913.85","","-0.04%"
"09/12/2022","914.26","914.26","914.26","914.26","","0.25%"
"09/09/2022","912.01","912.01","912.01","912.01","","0.01%"
"09/08/2022","911.95","911.95","911.95","911.95","","0.03%"
"09/07/2022","911.69","911.69","911.69","911.69","","-0.14%"
"09/06/2022","913.00","913.00","913.00","913.00","","-0.08%"
"09/05/2022","913.73","913.73","913.73","913.73","","-0.61%"
"09/02/2022","919.34","919.34","919.34","919.34","","-0.13%"
"09/01/2022","920.57","920.57","920.57","920.57","","0.31%"
"08/31/2022","917.68","917.68","917.68","917.68","","-0.71%"
"08/30/2022","924.25","924.25","924.25","924.25","","-0.28%"
"08/29/2022","926.89","926.89","926.89","926.89","","-0.86%"
"08/26/2022","934.97","934.97","934.97","934.97","","-0.21%"
"08/25/2022","936.91","936.91","936.91","936.91","","0.33%"
"08/24/2022","933.81","933.81","933.81","933.81","","0.51%"
"08/23/2022","929.03","929.03","929.03","929.03","","0.34%"
"08/22/2022","925.85","925.85","925.85","925.85","","-0.73%"
"08/19/2022","932.68","932.68","932.68","932.68","","-0.59%"
"08/18/2022","938.17","938.17","938.17","938.17","","0.17%"
"08/17/2022","936.55","936.55","936.55","936.55","","-0.29%"
"08/16/2022","939.32","939.32","939.32","939.32","","0.31%"
"08/12/2022","936.42","936.42","936.42","936.42","","-0.35%"
