"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LTU","HUR","TOT","PC_LF","M","2017-12",6.8,
"LTU","HUR","TOT","PC_LF","M","2018-01",6.8,
"LTU","HUR","TOT","PC_LF","M","2018-02",6.7,
"LTU","HUR","TOT","PC_LF","M","2018-03",6.7,
"LTU","HUR","TOT","PC_LF","M","2018-04",6.2,
"LTU","HUR","TOT","PC_LF","M","2018-05",5.9,
"LTU","HUR","TOT","PC_LF","M","2018-06",6.1,
"LTU","HUR","TOT","PC_LF","M","2018-07",5.9,
"LTU","HUR","TOT","PC_LF","M","2018-08",6,
"LTU","HUR","TOT","PC_LF","M","2018-09",6,
"LTU","HUR","TOT","PC_LF","M","2018-10",6.1,
"LTU","HUR","TOT","PC_LF","M","2018-11",5.9,
"LTU","HUR","TOT","PC_LF","M","2018-12",6,
"LTU","HUR","TOT","PC_LF","M","2019-01",6.1,
"LTU","HUR","TOT","PC_LF","M","2019-02",6.2,
"LTU","HUR","TOT","PC_LF","M","2019-03",6.2,
"LTU","HUR","TOT","PC_LF","M","2019-04",6.1,
"LTU","HUR","TOT","PC_LF","M","2019-05",6,
"LTU","HUR","TOT","PC_LF","M","2019-06",6,
"LTU","HUR","TOT","PC_LF","M","2019-07",6.2,
"LTU","HUR","TOT","PC_LF","M","2019-08",6.3,
"LTU","HUR","TOT","PC_LF","M","2019-09",6.4,
"LTU","HUR","TOT","PC_LF","M","2019-10",6.5,
"LTU","HUR","TOT","PC_LF","M","2019-11",6.5,
"LTU","HUR","TOT","PC_LF","M","2019-12",6.9,
"LTU","HUR","TOT","PC_LF","M","2020-01",7,
"LTU","HUR","TOT","PC_LF","M","2020-02",7.3,
"LTU","HUR","TOT","PC_LF","M","2020-03",7.6,
"LTU","HUR","TOT","PC_LF","M","2020-04",8,
"LTU","HUR","TOT","PC_LF","M","2020-05",8.6,
"LTU","HUR","TOT","PC_LF","M","2020-06",9.1,
"LTU","HUR","TOT","PC_LF","M","2020-07",9.4,
"LTU","HUR","TOT","PC_LF","M","2020-08",9.3,
"LTU","HUR","TOT","PC_LF","M","2020-09",9.1,
"LTU","HUR","TOT","PC_LF","M","2020-10",9.7,
"LTU","HUR","TOT","PC_LF","M","2020-11",9.2,
"LTU","HUR","TOT","PC_LF","M","2020-12",8.1,
"LTU","HUR","TOT","PC_LF","M","2021-01",7.8,
"LTU","HUR","TOT","PC_LF","M","2021-02",7.3,
"LTU","HUR","TOT","PC_LF","M","2021-03",7.6,
"LTU","HUR","TOT","PC_LF","M","2021-04",7.9,
"LTU","HUR","TOT","PC_LF","M","2021-05",7.7,
"LTU","HUR","TOT","PC_LF","M","2021-06",7.4,
"LTU","HUR","TOT","PC_LF","M","2021-07",6.8,
"LTU","HUR","TOT","PC_LF","M","2021-08",6.7,
"LTU","HUR","TOT","PC_LF","M","2021-09",6.8,
"LTU","HUR","TOT","PC_LF","M","2021-10",6.6,
"LTU","HUR","TOT","PC_LF","M","2021-11",6.7,
"LTU","HUR","TOT","PC_LF","M","2021-12",6.5,
"LTU","HUR","TOT","PC_LF","M","2022-01",6.6,
"LTU","HUR","TOT","PC_LF","M","2022-02",6.2,
"LTU","HUR","TOT","PC_LF","M","2022-03",5.7,
"LTU","HUR","TOT","PC_LF","M","2022-04",5.5,
"LTU","HUR","TOT","PC_LF","M","2022-05",5.5,
"LTU","HUR","TOT","PC_LF","M","2022-06",5.7,
"LTU","HUR","TOT","PC_LF","M","2022-07",5.8,
"LTU","HUR","TOT","PC_LF","M","2022-08",6,
"LTU","HUR","TOT","PC_LF","M","2022-09",6.1,
"LTU","HUR","TOT","PC_LF","M","2022-10",6.1,
"LTU","HUR","TOT","PC_LF","M","2022-11",6.1,
"LTU","HUR","TOT","PC_LF","M","2022-12",6.1,
