"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.843541785,
"POL","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.39936487,
"POL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.231066145,
"POL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.962868041,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.426006592,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.911291768,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.728354764,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.635320512,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.752411979,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.183059284,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.745162756,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.111563418,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.579873302,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.218100337,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.129562143,
"POL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.732035268,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",4.245396765,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-2.399999338,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.000005259,
"POL","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-2.300002083,
