"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","CPI","TOT","IDX2015","M","2017-12",102.5641,
"POL","CPI","TOT","IDX2015","M","2018-01",102.8897,
"POL","CPI","TOT","IDX2015","M","2018-02",102.6455,
"POL","CPI","TOT","IDX2015","M","2018-03",102.5641,
"POL","CPI","TOT","IDX2015","M","2018-04",103.0525,
"POL","CPI","TOT","IDX2015","M","2018-05",103.2967,
"POL","CPI","TOT","IDX2015","M","2018-06",103.3781,
"POL","CPI","TOT","IDX2015","M","2018-07",103.1339,
"POL","CPI","TOT","IDX2015","M","2018-08",103.1339,
"POL","CPI","TOT","IDX2015","M","2018-09",103.3781,
"POL","CPI","TOT","IDX2015","M","2018-10",103.7851,
"POL","CPI","TOT","IDX2015","M","2018-11",103.7851,
"POL","CPI","TOT","IDX2015","M","2018-12",103.7851,
"POL","CPI","TOT","IDX2015","M","2019-01",103.5409,
"POL","CPI","TOT","IDX2015","M","2019-02",103.9479,
"POL","CPI","TOT","IDX2015","M","2019-03",104.2735,
"POL","CPI","TOT","IDX2015","M","2019-04",105.4131,
"POL","CPI","TOT","IDX2015","M","2019-05",105.6573,
"POL","CPI","TOT","IDX2015","M","2019-06",105.9829,
"POL","CPI","TOT","IDX2015","M","2019-07",105.9829,
"POL","CPI","TOT","IDX2015","M","2019-08",105.9829,
"POL","CPI","TOT","IDX2015","M","2019-09",105.9829,
"POL","CPI","TOT","IDX2015","M","2019-10",106.2271,
"POL","CPI","TOT","IDX2015","M","2019-11",106.3085,
"POL","CPI","TOT","IDX2015","M","2019-12",107.1225,
"POL","CPI","TOT","IDX2015","M","2020-01",108.0993,
"POL","CPI","TOT","IDX2015","M","2020-02",108.8319,
"POL","CPI","TOT","IDX2015","M","2020-03",109.0761,
"POL","CPI","TOT","IDX2015","M","2020-04",108.9947,
"POL","CPI","TOT","IDX2015","M","2020-05",108.7505,
"POL","CPI","TOT","IDX2015","M","2020-06",109.4017,
"POL","CPI","TOT","IDX2015","M","2020-07",109.1575,
"POL","CPI","TOT","IDX2015","M","2020-08",109.0761,
"POL","CPI","TOT","IDX2015","M","2020-09",109.3203,
"POL","CPI","TOT","IDX2015","M","2020-10",109.4017,
"POL","CPI","TOT","IDX2015","M","2020-11",109.4831,
"POL","CPI","TOT","IDX2015","M","2020-12",109.5645,
"POL","CPI","TOT","IDX2015","M","2021-01",110.9483,
"POL","CPI","TOT","IDX2015","M","2021-02",111.5181,
"POL","CPI","TOT","IDX2015","M","2021-03",112.6577,
"POL","CPI","TOT","IDX2015","M","2021-04",113.5531,
"POL","CPI","TOT","IDX2015","M","2021-05",113.8787,
"POL","CPI","TOT","IDX2015","M","2021-06",113.9601,
"POL","CPI","TOT","IDX2015","M","2021-07",114.4485,
"POL","CPI","TOT","IDX2015","M","2021-08",114.7741,
"POL","CPI","TOT","IDX2015","M","2021-09",115.5881,
"POL","CPI","TOT","IDX2015","M","2021-10",116.8905,
"POL","CPI","TOT","IDX2015","M","2021-11",118.0301,
"POL","CPI","TOT","IDX2015","M","2021-12",119.0883,
"POL","CPI","TOT","IDX2015","M","2022-01",121.3675,
"POL","CPI","TOT","IDX2015","M","2022-02",121.0419,
"POL","CPI","TOT","IDX2015","M","2022-03",125.0305,
"POL","CPI","TOT","IDX2015","M","2022-04",127.5539,
"POL","CPI","TOT","IDX2015","M","2022-05",129.7517,
"POL","CPI","TOT","IDX2015","M","2022-06",131.7053,
"POL","CPI","TOT","IDX2015","M","2022-07",132.3565,
"POL","CPI","TOT","IDX2015","M","2022-08",133.4147,
"POL","CPI","TOT","IDX2015","M","2022-09",135.5311,
"POL","CPI","TOT","IDX2015","M","2022-10",137.9731,
"POL","CPI","TOT","IDX2015","M","2022-11",138.9499,
"POL","CPI","TOT","IDX2015","M","2022-12",139.1127,
