"date","conf","status1","s1"
"2001-01-31","","Normal value",10.43
"2001-02-28","","Normal value",10.23
"2001-03-31","","Normal value",10.62
"2001-04-30","","Normal value",10.61
"2001-05-31","","Normal value",11.26
"2001-06-30","","Normal value",11.66
"2001-07-31","","Normal value",11.79
"2001-08-31","","Normal value",11.86
"2001-09-30","","Normal value",11.49
"2001-10-31","","Normal value",10.31
"2001-11-30","","Normal value",9.04
"2001-12-31","","Normal value",8.88
"2002-01-31","","Normal value",8.26
"2002-02-28","","Normal value",8.33
"2002-03-31","","Normal value",8.33
"2002-04-30","","Normal value",8.21
"2002-05-31","","Normal value",8.02
"2002-06-30","","Normal value",7.55
"2002-07-31","","Normal value",7.59
"2002-08-31","","Normal value",7.26
"2002-09-30","","Normal value",6.78
"2002-10-31","","Normal value",6.26
"2002-11-30","","Normal value",5.95
"2002-12-31","","Normal value",5.73
"2003-01-31","","Normal value",5.66
"2003-02-28","","Normal value",5.66
"2003-03-31","","Normal value",5.52
"2003-04-30","","Normal value",5.41
"2003-05-31","","Normal value",5.12
"2003-06-30","","Normal value",5.03
"2003-07-31","","Normal value",5.37
"2003-08-31","","Normal value",5.61
"2003-09-30","","Normal value",5.93
"2003-10-31","","Normal value",6.36
"2003-11-30","","Normal value",6.9
"2003-12-31","","Normal value",6.76
"2004-01-31","","Normal value",6.67
"2004-02-29","","Normal value",6.82
"2004-03-31","","Normal value",6.65
"2004-04-30","","Normal value",7.02
"2004-05-31","","Normal value",7.32
"2004-06-30","","Normal value",7.27
"2004-07-31","","Normal value",7.44
"2004-08-31","","Normal value",7.36
"2004-09-30","","Normal value",6.96
"2004-10-31","","Normal value",6.8
"2004-11-30","","Normal value",6.45
"2004-12-31","","Normal value",6
"2005-01-31","","Normal value",5.97
"2005-02-28","","Normal value",5.73
"2005-03-31","","Normal value",5.55
"2005-04-30","","Normal value",5.49
"2005-05-31","","Normal value",5.35
"2005-06-30","","Normal value",4.91
"2005-07-31","","Normal value",4.72
"2005-08-31","","Normal value",4.88
"2005-09-30","","Normal value",4.57
"2005-10-31","","Normal value",4.91
"2005-11-30","","Normal value",5.38
"2005-12-31","","Normal value",5.16
"2006-01-31","","Normal value",4.95
"2006-02-28","","Normal value",4.79
"2006-03-31","","Normal value",4.79
"2006-04-30","","Normal value",5.03
"2006-05-31","","Normal value",5.27
"2006-06-30","","Normal value",5.55
"2006-07-31","","Normal value",5.56
"2006-08-31","","Normal value",5.62
"2006-09-30","","Normal value",5.48
"2006-10-31","","Normal value",5.4
"2006-11-30","","Normal value",5.2
"2006-12-31","","Normal value",5.14
"2007-01-31","","Normal value",5.17
"2007-02-28","","Normal value",5.19
"2007-03-31","","Normal value",5.19
"2007-04-30","","Normal value",5.28
"2007-05-31","","Normal value",5.29
"2007-06-30","","Normal value",5.52
"2007-07-31","","Normal value",5.6
"2007-08-31","","Normal value",5.68
"2007-09-30","","Normal value",5.69
"2007-10-31","","Normal value",5.64
"2007-11-30","","Normal value",5.7
"2007-12-31","","Normal value",5.86
"2008-01-31","","Normal value",5.81
"2008-02-29","","Normal value",5.82
"2008-03-31","","Normal value",5.99
"2008-04-30","","Normal value",5.99
"2008-05-31","","Normal value",6.1
"2008-06-30","","Normal value",6.42
"2008-07-31","","Normal value",6.45
"2008-08-31","","Normal value",6.11
"2008-09-30","","Normal value",5.89
"2008-10-31","","Normal value",6.35
"2008-11-30","","Normal value",6.23
"2008-12-31","","Normal value",5.7
"2009-01-31","","Normal value",5.46
"2009-02-28","","Normal value",5.97
"2009-03-31","","Normal value",6.22
"2009-04-30","","Normal value",6.19
"2009-05-31","","Normal value",6.31
"2009-06-30","","Normal value",6.34
"2009-07-31","","Normal value",6.19
"2009-08-31","","Normal value",6.08
"2009-09-30","","Normal value",6.17
"2009-10-31","","Normal value",6.15
"2009-11-30","","Normal value",6.14
"2009-12-31","","Normal value",6.22
"2010-01-31","","Normal value",6.13
"2010-02-28","","Normal value",6.09
"2010-03-31","","Normal value",5.72
"2010-04-30","","Normal value",5.57
"2010-05-31","","Normal value",5.72
"2010-06-30","","Normal value",5.87
"2010-07-31","","Normal value",5.84
"2010-08-31","","Normal value",5.62
"2010-09-30","","Normal value",5.49
"2010-10-31","","Normal value",5.53
"2010-11-30","","Normal value",5.82
"2010-12-31","","Normal value",5.98
"2011-01-31","","Normal value",6.26
"2011-02-28","","Normal value",6.26
"2011-03-31","","Normal value",6.27
"2011-04-30","","Normal value",6.14
"2011-05-31","","Normal value",6.06
"2011-06-30","","Normal value",5.88
"2011-07-31","","Normal value",5.81
"2011-08-31","","Normal value",5.7
"2011-09-30","","Normal value",5.74
"2011-10-31","","Normal value",5.71
"2011-11-30","","Normal value",5.8
"2011-12-31","","Normal value",5.84
"2012-01-31","","Normal value",5.68
"2012-02-29","","Normal value",5.46
"2012-03-31","","Normal value",5.37
"2012-04-30","","Normal value",5.49
"2012-05-31","","Normal value",5.41
"2012-06-30","","Normal value",5.24
"2012-07-31","","Normal value",4.99
"2012-08-31","","Normal value",4.88
"2012-09-30","","Normal value",4.85
"2012-10-31","","Normal value",4.57
"2012-11-30","","Normal value",4.18
"2012-12-31","","Normal value",3.88
"2013-01-31","","Normal value",3.91
"2013-02-28","","Normal value",3.99
"2013-03-31","","Normal value",3.93
"2013-04-30","","Normal value",3.5
"2013-05-31","","Normal value",3.28
"2013-06-30","","Normal value",3.95
"2013-07-31","","Normal value",3.97
"2013-08-31","","Normal value",4.3
"2013-09-30","","Normal value",4.49
"2013-10-31","","Normal value",4.28
"2013-11-30","","Normal value",4.38
"2013-12-31","","Normal value",4.42
"2014-01-31","","Normal value",4.42
"2014-02-28","","Normal value",4.47
"2014-03-31","","Normal value",4.25
"2014-04-30","","Normal value",4.1
"2014-05-31","","Normal value",3.8
"2014-06-30","","Normal value",3.54
"2014-07-31","","Normal value",3.34
"2014-08-31","","Normal value",3.36
"2014-09-30","","Normal value",3.1
"2014-10-31","","Normal value",2.72
"2014-11-30","","Normal value",2.54
"2014-12-31","","Normal value",2.55
"2015-01-31","","Normal value",2.21
"2015-02-28","","Normal value",2.2
"2015-03-31","","Normal value",2.33
"2015-04-30","","Normal value",2.37
"2015-05-31","","Normal value",2.82
"2015-06-30","","Normal value",3.19
"2015-07-31","","Normal value",3.16
"2015-08-31","","Normal value",2.88
"2015-09-30","","Normal value",2.91
"2015-10-31","","Normal value",2.66
"2015-11-30","","Normal value",2.73
"2015-12-31","","Normal value",2.96
"2016-01-31","","Normal value",3
"2016-02-29","","Normal value",3.03
"2016-03-31","","Normal value",2.89
"2016-04-30","","Normal value",2.95
"2016-05-31","","Normal value",3.04
"2016-06-30","","Normal value",3.11
"2016-07-31","","Normal value",2.89
"2016-08-31","","Normal value",2.71
"2016-09-30","","Normal value",2.85
"2016-10-31","","Normal value",3.01
"2016-11-30","","Normal value",3.41
"2016-12-31","","Normal value",3.54
"2017-01-31","","Normal value",3.68
"2017-02-28","","Normal value",3.81
"2017-03-31","","Normal value",3.66
"2017-04-30","","Normal value",3.42
"2017-05-31","","Normal value",3.35
"2017-06-30","","Normal value",3.19
"2017-07-31","","Normal value",3.3
"2017-08-31","","Normal value",3.33
"2017-09-30","","Normal value",3.26
"2017-10-31","","Normal value",3.38
"2017-11-30","","Normal value",3.39
"2017-12-31","","Normal value",3.27
"2018-01-31","","Normal value",3.32
"2018-02-28","","Normal value",3.39
"2018-03-31","","Normal value",3.27
"2018-04-30","","Normal value",3.06
"2018-05-31","","Normal value",3.23
"2018-06-30","","Normal value",3.21
"2018-07-31","","Normal value",3.17
"2018-08-31","","Normal value",3.14
"2018-09-30","","Normal value",3.24
"2018-10-31","","Normal value",3.22
"2018-11-30","","Normal value",3.19
"2018-12-31","","Normal value",2.94
"2019-01-31","","Normal value",2.78
"2019-02-28","","Normal value",2.69
"2019-03-31","","Normal value",2.75
"2019-04-30","","Normal value",2.76
"2019-05-31","","Normal value",2.72
"2019-06-30","","Normal value",2.35
"2019-07-31","","Normal value",2.13
"2019-08-31","","Normal value",1.93
"2019-09-30","","Normal value",2.02
"2019-10-31","","Normal value",1.96
"2019-11-30","","Normal value",2.05
"2019-12-31","","Normal value",2.03
"2020-01-31","","Normal value",2.23
"2020-02-29","","Normal value",2.07
"2020-03-31","","Normal value",1.8
"2020-04-30","","Normal value",1.46
"2020-05-31","","Normal value",1.35
"2020-06-30","","Normal value",1.31
"2020-07-31","","Normal value",1.33
"2020-08-31","","Normal value",1.32
"2020-09-30","","Normal value",1.35
"2020-10-31","","Normal value",1.26
"2020-11-30","","Normal value",1.2
"2020-12-31","","Normal value",1.29
"2021-01-31","","Normal value",1.19
"2021-02-28","","Normal value",1.31
"2021-03-31","","Normal value",1.53
"2021-04-30","","Normal value",1.55
"2021-05-31","","Normal value",1.82
"2021-06-30","","Normal value",1.78
"2021-07-31","","Normal value",1.61
"2021-08-31","","Normal value",1.6
"2021-09-30","","Normal value",1.87
"2021-10-31","","Normal value",2.63
"2021-11-30","","Normal value",3.12
"2021-12-31","","Normal value",3.35
"2022-01-31","","Normal value",4
"2022-02-28","","Normal value",3.95
"2022-03-31","","Normal value",4.83
"2022-04-30","","Normal value",5.96
"2022-05-31","","Normal value",6.64
"2022-06-30","","Normal value",7.14
"2022-07-31","","Normal value",6.37
"2022-08-31","","Normal value",5.8
"2022-09-30","","Normal value",6.28
"2022-10-31","","Normal value",7.82
