Date, Open, High, Low, Close
12/30/22, 1792.01, 1792.01, 1792.01, 1792.01
12/29/22, 1802.20, 1802.20, 1802.20, 1802.20
12/28/22, 1767.88, 1767.88, 1767.88, 1767.88
12/27/22, 1765.87, 1765.87, 1765.87, 1765.87
12/23/22, 1778.58, 1782.76, 1769.41, 1780.27
12/22/22, 1780.07, 1780.07, 1780.07, 1780.07
12/21/22, 1786.10, 1786.10, 1786.10, 1786.10
12/20/22, 1763.20, 1763.20, 1763.20, 1763.20
12/19/22, 1743.24, 1743.24, 1743.24, 1743.24
12/16/22, 1741.30, 1741.30, 1741.30, 1741.30
12/15/22, 1756.52, 1756.52, 1756.52, 1756.52
12/14/22, 1787.37, 1787.37, 1787.37, 1787.37
12/13/22, 1784.67, 1784.67, 1784.67, 1784.67
12/12/22, 1755.34, 1755.34, 1755.34, 1755.34
12/09/22, 1730.16, 1730.16, 1730.16, 1730.16
12/08/22, 1725.66, 1725.66, 1725.66, 1725.66
12/07/22, 1735.66, 1735.66, 1735.66, 1735.66
12/06/22, 1733.59, 1733.59, 1733.59, 1733.59
12/05/22, 1746.54, 1746.54, 1746.54, 1746.54
12/02/22, 1733.46, 1733.46, 1733.46, 1733.46
12/01/22, 1766.38, 1766.38, 1766.38, 1766.38
11/30/22, 1736.26, 1736.26, 1736.26, 1736.26
11/29/22, 1736.19, 1736.19, 1736.19, 1736.19
11/28/22, 1728.74, 1728.74, 1728.74, 1728.74
11/25/22, 1755.69, 1755.69, 1755.69, 1755.69
11/24/22, 1753.95, 1753.95, 1753.95, 1753.95
11/23/22, 1713.61, 1713.61, 1713.61, 1713.61
11/22/22, 1717.75, 1717.75, 1717.75, 1717.75
11/21/22, 1685.50, 1685.50, 1685.50, 1685.50
11/18/22, 1707.23, 1707.23, 1707.23, 1707.23
11/17/22, 1708.23, 1708.23, 1708.23, 1708.23
11/16/22, 1741.17, 1741.17, 1741.17, 1741.17
11/15/22, 1769.55, 1769.55, 1769.55, 1769.55
11/14/22, 1743.89, 1743.89, 1743.89, 1743.89
11/10/22, 1637.91, 1692.72, 1619.03, 1690.38
11/09/22, 1644.12, 1644.12, 1644.12, 1644.12
11/08/22, 1644.75, 1644.75, 1644.75, 1644.75
