"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","HUR","TOT","PC_LF","M","2017-12",4.4,
"POL","HUR","TOT","PC_LF","M","2018-01",4.2,
"POL","HUR","TOT","PC_LF","M","2018-02",4,
"POL","HUR","TOT","PC_LF","M","2018-03",3.9,
"POL","HUR","TOT","PC_LF","M","2018-04",3.8,
"POL","HUR","TOT","PC_LF","M","2018-05",3.7,
"POL","HUR","TOT","PC_LF","M","2018-06",3.8,
"POL","HUR","TOT","PC_LF","M","2018-07",3.9,
"POL","HUR","TOT","PC_LF","M","2018-08",3.9,
"POL","HUR","TOT","PC_LF","M","2018-09",3.9,
"POL","HUR","TOT","PC_LF","M","2018-10",3.9,
"POL","HUR","TOT","PC_LF","M","2018-11",3.9,
"POL","HUR","TOT","PC_LF","M","2018-12",3.9,
"POL","HUR","TOT","PC_LF","M","2019-01",3.9,
"POL","HUR","TOT","PC_LF","M","2019-02",3.8,
"POL","HUR","TOT","PC_LF","M","2019-03",3.7,
"POL","HUR","TOT","PC_LF","M","2019-04",3.4,
"POL","HUR","TOT","PC_LF","M","2019-05",3.3,
"POL","HUR","TOT","PC_LF","M","2019-06",3.3,
"POL","HUR","TOT","PC_LF","M","2019-07",3.2,
"POL","HUR","TOT","PC_LF","M","2019-08",3.2,
"POL","HUR","TOT","PC_LF","M","2019-09",3.1,
"POL","HUR","TOT","PC_LF","M","2019-10",3.1,
"POL","HUR","TOT","PC_LF","M","2019-11",3,
"POL","HUR","TOT","PC_LF","M","2019-12",3,
"POL","HUR","TOT","PC_LF","M","2020-01",2.9,
"POL","HUR","TOT","PC_LF","M","2020-02",2.9,
"POL","HUR","TOT","PC_LF","M","2020-03",2.9,
"POL","HUR","TOT","PC_LF","M","2020-04",3.1,
"POL","HUR","TOT","PC_LF","M","2020-05",3.3,
"POL","HUR","TOT","PC_LF","M","2020-06",3.4,
"POL","HUR","TOT","PC_LF","M","2020-07",3.4,
"POL","HUR","TOT","PC_LF","M","2020-08",3.4,
"POL","HUR","TOT","PC_LF","M","2020-09",3.4,
"POL","HUR","TOT","PC_LF","M","2020-10",3.3,
"POL","HUR","TOT","PC_LF","M","2020-11",3.3,
"POL","HUR","TOT","PC_LF","M","2020-12",3.4,
"POL","HUR","TOT","PC_LF","M","2021-01",3.6,
"POL","HUR","TOT","PC_LF","M","2021-02",3.7,
"POL","HUR","TOT","PC_LF","M","2021-03",3.8,
"POL","HUR","TOT","PC_LF","M","2021-04",3.7,
"POL","HUR","TOT","PC_LF","M","2021-05",3.6,
"POL","HUR","TOT","PC_LF","M","2021-06",3.5,
"POL","HUR","TOT","PC_LF","M","2021-07",3.3,
"POL","HUR","TOT","PC_LF","M","2021-08",3.1,
"POL","HUR","TOT","PC_LF","M","2021-09",3,
"POL","HUR","TOT","PC_LF","M","2021-10",3,
"POL","HUR","TOT","PC_LF","M","2021-11",3,
"POL","HUR","TOT","PC_LF","M","2021-12",3,
"POL","HUR","TOT","PC_LF","M","2022-01",2.9,
"POL","HUR","TOT","PC_LF","M","2022-02",2.8,
"POL","HUR","TOT","PC_LF","M","2022-03",2.8,
"POL","HUR","TOT","PC_LF","M","2022-04",2.8,
"POL","HUR","TOT","PC_LF","M","2022-05",2.8,
"POL","HUR","TOT","PC_LF","M","2022-06",2.8,
"POL","HUR","TOT","PC_LF","M","2022-07",2.9,
"POL","HUR","TOT","PC_LF","M","2022-08",3,
"POL","HUR","TOT","PC_LF","M","2022-09",3,
"POL","HUR","TOT","PC_LF","M","2022-10",3,
"POL","HUR","TOT","PC_LF","M","2022-11",3,
"POL","HUR","TOT","PC_LF","M","2022-12",2.9,
