"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.727368109,
"PRT","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.779536523,
"PRT","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.525723942,
"PRT","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.608994992,
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.882987755,
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.571006817,
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.451880731,
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.820784598,
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.355487705,
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-15.119496961,
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q3",14.588001222,
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.370563245,
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.559961929,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.42617467,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.802834928,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.927325071,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.257281257,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.194374815,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.333394312,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.349849199,"P"
