"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","CPI","TOT","IDX2015","M","2017-12",102.4786,
"PRT","CPI","TOT","IDX2015","M","2018-01",101.4356,
"PRT","CPI","TOT","IDX2015","M","2018-02",100.747,
"PRT","CPI","TOT","IDX2015","M","2018-03",102.6259,
"PRT","CPI","TOT","IDX2015","M","2018-04",103.3036,
"PRT","CPI","TOT","IDX2015","M","2018-05",103.7236,
"PRT","CPI","TOT","IDX2015","M","2018-06",103.7903,
"PRT","CPI","TOT","IDX2015","M","2018-07",103.1573,
"PRT","CPI","TOT","IDX2015","M","2018-08",102.801,
"PRT","CPI","TOT","IDX2015","M","2018-09",103.9604,
"PRT","CPI","TOT","IDX2015","M","2018-10",103.8669,
"PRT","CPI","TOT","IDX2015","M","2018-11",103.4021,
"PRT","CPI","TOT","IDX2015","M","2018-12",103.1593,
"PRT","CPI","TOT","IDX2015","M","2019-01",101.9183,
"PRT","CPI","TOT","IDX2015","M","2019-02",101.6934,
"PRT","CPI","TOT","IDX2015","M","2019-03",103.4947,
"PRT","CPI","TOT","IDX2015","M","2019-04",104.0998,
"PRT","CPI","TOT","IDX2015","M","2019-05",104.1605,
"PRT","CPI","TOT","IDX2015","M","2019-06",104.1923,
"PRT","CPI","TOT","IDX2015","M","2019-07",102.8319,
"PRT","CPI","TOT","IDX2015","M","2019-08",102.7135,
"PRT","CPI","TOT","IDX2015","M","2019-09",103.844,
"PRT","CPI","TOT","IDX2015","M","2019-10",103.8828,
"PRT","CPI","TOT","IDX2015","M","2019-11",103.7296,
"PRT","CPI","TOT","IDX2015","M","2019-12",103.5922,
"PRT","CPI","TOT","IDX2015","M","2020-01",102.7334,
"PRT","CPI","TOT","IDX2015","M","2020-02",102.0795,
"PRT","CPI","TOT","IDX2015","M","2020-03",103.5435,
"PRT","CPI","TOT","IDX2015","M","2020-04",103.8719,
"PRT","CPI","TOT","IDX2015","M","2020-05",103.4061,
"PRT","CPI","TOT","IDX2015","M","2020-06",104.3227,
"PRT","CPI","TOT","IDX2015","M","2020-07",102.9782,
"PRT","CPI","TOT","IDX2015","M","2020-08",102.7015,
"PRT","CPI","TOT","IDX2015","M","2020-09",103.6987,
"PRT","CPI","TOT","IDX2015","M","2020-10",103.8082,
"PRT","CPI","TOT","IDX2015","M","2020-11",103.5007,
"PRT","CPI","TOT","IDX2015","M","2020-12",103.3544,
"PRT","CPI","TOT","IDX2015","M","2021-01",103.0429,
"PRT","CPI","TOT","IDX2015","M","2021-02",102.5712,
"PRT","CPI","TOT","IDX2015","M","2021-03",104.0142,
"PRT","CPI","TOT","IDX2015","M","2021-04",104.4461,
"PRT","CPI","TOT","IDX2015","M","2021-05",104.6929,
"PRT","CPI","TOT","IDX2015","M","2021-06",104.8521,
"PRT","CPI","TOT","IDX2015","M","2021-07",104.4879,
"PRT","CPI","TOT","IDX2015","M","2021-08",104.2789,
"PRT","CPI","TOT","IDX2015","M","2021-09",105.2323,
"PRT","CPI","TOT","IDX2015","M","2021-10",105.709,
"PRT","CPI","TOT","IDX2015","M","2021-11",106.1747,
"PRT","CPI","TOT","IDX2015","M","2021-12",106.1907,
"PRT","CPI","TOT","IDX2015","M","2022-01",106.4842,
"PRT","CPI","TOT","IDX2015","M","2022-02",106.8734,
"PRT","CPI","TOT","IDX2015","M","2022-03",109.5594,
"PRT","CPI","TOT","IDX2015","M","2022-04",111.9707,
"PRT","CPI","TOT","IDX2015","M","2022-05",113.0674,
"PRT","CPI","TOT","IDX2015","M","2022-06",114.0029,
"PRT","CPI","TOT","IDX2015","M","2022-07",113.9551,
"PRT","CPI","TOT","IDX2015","M","2022-08",113.6058,
"PRT","CPI","TOT","IDX2015","M","2022-09",114.9991,
"PRT","CPI","TOT","IDX2015","M","2022-10",116.4272,
"PRT","CPI","TOT","IDX2015","M","2022-11",116.7247,
"PRT","CPI","TOT","IDX2015","M","2022-12",116.3774,
