"date","conf","status1","s1"
"1993-07-31","","Normal value",10.66
"1993-08-31","","Normal value",10.37
"1993-09-30","","Normal value",9.73
"1993-10-31","","Normal value",9.27
"1993-11-30","","Normal value",9.39
"1993-12-31","","Normal value",9.19
"1994-01-31","","Normal value",8.93
"1994-02-28","","Normal value",8.58
"1994-03-31","","Normal value",8.97
"1994-04-30","","Normal value",9.26
"1994-05-31","","Normal value",9.96
"1994-06-30","","Normal value",10.84
"1994-07-31","","Normal value",11.34
"1994-08-31","","Normal value",11.42
"1994-09-30","","Normal value",11.75
"1994-10-31","","Normal value",11.59
"1994-11-30","","Normal value",11.51
"1994-12-31","","Normal value",11.6
"1995-01-31","","Normal value",11.79
"1995-02-28","","Normal value",11.71
"1995-03-31","","Normal value",11.98
"1995-04-30","","Normal value",12.17
"1995-05-31","","Normal value",11.91
"1995-06-30","","Normal value",11.89
"1995-07-31","","Normal value",11.69
"1995-08-31","","Normal value",11.31
"1995-09-30","","Normal value",11.14
"1995-10-31","","Normal value",11.22
"1995-11-30","","Normal value",10.74
"1995-12-31","","Normal value",10.03
"1996-01-31","","Normal value",9.44
"1996-02-29","","Normal value",9.45
"1996-03-31","","Normal value",9.46
"1996-04-30","","Normal value",9.06
"1996-05-31","","Normal value",8.97
"1996-06-30","","Normal value",8.88
"1996-07-31","","Normal value",8.71
"1996-08-31","","Normal value",8.71
"1996-09-30","","Normal value",8.32
"1996-10-31","","Normal value",7.59
"1996-11-30","","Normal value",7.17
"1996-12-31","","Normal value",6.95
"1997-01-31","","Normal value",6.72
"1997-02-28","","Normal value",6.66
"1997-03-31","","Normal value",6.87
"1997-04-30","","Normal value",6.8
"1997-05-31","","Normal value",6.49
"1997-06-30","","Normal value",6.41
"1997-07-31","","Normal value",6.26
"1997-08-31","","Normal value",6.35
"1997-09-30","","Normal value",6.13
"1997-10-31","","Normal value",5.98
"1997-11-30","","Normal value",5.96
"1997-12-31","","Normal value",5.67
"1998-01-31","","Normal value",5.41
"1998-02-28","","Normal value",5.32
"1998-03-31","","Normal value",5.25
"1998-04-30","","Normal value",5.17
"1998-05-31","","Normal value",5.18
"1998-06-30","","Normal value",5.06
"1998-07-31","","Normal value",4.95
"1998-08-31","","Normal value",4.76
"1998-09-30","","Normal value",4.46
"1998-10-31","","Normal value",4.43
"1998-11-30","","Normal value",4.42
"1998-12-31","","Normal value",4.12
"1999-01-31","","Normal value",3.9
"1999-02-28","","Normal value",4.02
"1999-03-31","","Normal value",4.24
"1999-04-30","","Normal value",4.13
"1999-05-31","","Normal value",4.32
"1999-06-30","","Normal value",4.66
"1999-07-31","","Normal value",4.99
"1999-08-31","","Normal value",5.22
"1999-09-30","","Normal value",5.41
"1999-10-31","","Normal value",5.62
"1999-11-30","","Normal value",5.36
"1999-12-31","","Normal value",5.46
"2000-01-31","","Normal value",5.81
"2000-02-29","","Normal value",5.78
"2000-03-31","","Normal value",5.61
"2000-04-30","","Normal value",5.52
"2000-05-31","","Normal value",5.68
"2000-06-30","","Normal value",5.54
"2000-07-31","","Normal value",5.61
"2000-08-31","","Normal value",5.57
"2000-09-30","","Normal value",5.63
"2000-10-31","","Normal value",5.58
"2000-11-30","","Normal value",5.53
"2000-12-31","","Normal value",5.28
"2001-01-31","","Normal value",5.16
"2001-02-28","","Normal value",5.14
"2001-03-31","","Normal value",5.09
"2001-04-30","","Normal value",5.26
"2001-05-31","","Normal value",5.42
"2001-06-30","","Normal value",5.38
"2001-07-31","","Normal value",5.39
"2001-08-31","","Normal value",5.19
"2001-09-30","","Normal value",5.17
"2001-10-31","","Normal value",4.92
"2001-11-30","","Normal value",4.76
"2001-12-31","","Normal value",5.01
"2002-01-31","","Normal value",5.08
"2002-02-28","","Normal value",5.15
"2002-03-31","","Normal value",5.39
"2002-04-30","","Normal value",5.39
"2002-05-31","","Normal value",5.4
"2002-06-30","","Normal value",5.26
"2002-07-31","","Normal value",5.12
"2002-08-31","","Normal value",4.85
"2002-09-30","","Normal value",4.63
"2002-10-31","","Normal value",4.7
"2002-11-30","","Normal value",4.66
"2002-12-31","","Normal value",4.45
"2003-01-31","","Normal value",4.27
"2003-02-28","","Normal value",4.04
"2003-03-31","","Normal value",4.08
"2003-04-30","","Normal value",4.18
"2003-05-31","","Normal value",3.91
"2003-06-30","","Normal value",3.77
"2003-07-31","","Normal value",4.1
"2003-08-31","","Normal value",4.26
"2003-09-30","","Normal value",4.29
"2003-10-31","","Normal value",4.36
"2003-11-30","","Normal value",4.48
"2003-12-31","","Normal value",4.4
"2004-01-31","","Normal value",4.25
"2004-02-29","","Normal value",4.19
"2004-03-31","","Normal value",4
"2004-04-30","","Normal value",4.25
"2004-05-31","","Normal value",4.42
"2004-06-30","","Normal value",4.47
"2004-07-31","","Normal value",4.35
"2004-08-31","","Normal value",4.18
"2004-09-30","","Normal value",4.12
"2004-10-31","","Normal value",3.99
"2004-11-30","","Normal value",3.86
"2004-12-31","","Normal value",3.64
"2005-01-31","","Normal value",3.56
"2005-02-28","","Normal value",3.55
"2005-03-31","","Normal value",3.7
"2005-04-30","","Normal value",3.5
"2005-05-31","","Normal value",3.35
"2005-06-30","","Normal value",3.19
"2005-07-31","","Normal value",3.35
"2005-08-31","","Normal value",3.39
"2005-09-30","","Normal value",3.23
"2005-10-31","","Normal value",3.39
"2005-11-30","","Normal value",3.58
"2005-12-31","","Normal value",3.46
"2006-01-31","","Normal value",3.45
"2006-02-28","","Normal value",3.6
"2006-03-31","","Normal value",3.77
"2006-04-30","","Normal value",4.03
"2006-05-31","","Normal value",4.07
"2006-06-30","","Normal value",4.1
"2006-07-31","","Normal value",4.14
"2006-08-31","","Normal value",4.06
"2006-09-30","","Normal value",3.93
"2006-10-31","","Normal value",3.98
"2006-11-30","","Normal value",3.89
"2006-12-31","","Normal value",3.96
"2007-01-31","","Normal value",4.18
"2007-02-28","","Normal value",4.19
"2007-03-31","","Normal value",4.1
"2007-04-30","","Normal value",4.3
"2007-05-31","","Normal value",4.44
"2007-06-30","","Normal value",4.75
"2007-07-31","","Normal value",4.73
"2007-08-31","","Normal value",4.55
"2007-09-30","","Normal value",4.5
"2007-10-31","","Normal value",4.52
"2007-11-30","","Normal value",4.36
"2007-12-31","","Normal value",4.47
"2008-01-31","","Normal value",4.31
"2008-02-29","","Normal value",4.27
"2008-03-31","","Normal value",4.36
"2008-04-30","","Normal value",4.52
"2008-05-31","","Normal value",4.6
"2008-06-30","","Normal value",4.96
"2008-07-31","","Normal value",4.95
"2008-08-31","","Normal value",4.69
"2008-09-30","","Normal value",4.66
"2008-10-31","","Normal value",4.56
"2008-11-30","","Normal value",4.35
"2008-12-31","","Normal value",4
"2009-01-31","","Normal value",4.32
"2009-02-28","","Normal value",4.52
"2009-03-31","","Normal value",4.68
"2009-04-30","","Normal value",4.53
"2009-05-31","","Normal value",4.29
"2009-06-30","","Normal value",4.5
"2009-07-31","","Normal value",4.25
"2009-08-31","","Normal value",3.95
"2009-09-30","","Normal value",3.94
"2009-10-31","","Normal value",3.85
"2009-11-30","","Normal value",3.8
"2009-12-31","","Normal value",3.91
"2010-01-31","","Normal value",4.17
"2010-02-28","","Normal value",4.56
"2010-03-31","","Normal value",4.31
"2010-04-30","","Normal value",4.78
"2010-05-31","","Normal value",5.02
"2010-06-30","","Normal value",5.54
"2010-07-31","","Normal value",5.49
"2010-08-31","","Normal value",5.31
"2010-09-30","","Normal value",6.08
"2010-10-31","","Normal value",6.05
"2010-11-30","","Normal value",6.91
"2010-12-31","","Normal value",6.53
"2011-01-31","","Normal value",6.95
"2011-02-28","","Normal value",7.34
"2011-03-31","","Normal value",7.8
"2011-04-30","","Normal value",9.19
"2011-05-31","","Normal value",9.63
"2011-06-30","","Normal value",10.87
"2011-07-31","","Normal value",12.15
"2011-08-31","","Normal value",10.93
"2011-09-30","","Normal value",11.34
"2011-10-31","","Normal value",11.72
"2011-11-30","","Normal value",11.89
"2011-12-31","","Normal value",13.08
"2012-01-31","","Normal value",13.85
"2012-02-29","","Normal value",12.81
"2012-03-31","","Normal value",13.01
"2012-04-30","","Normal value",12.01
"2012-05-31","","Normal value",11.59
"2012-06-30","","Normal value",10.56
"2012-07-31","","Normal value",10.49
"2012-08-31","","Normal value",9.88
"2012-09-30","","Normal value",8.62
"2012-10-31","","Normal value",8.17
"2012-11-30","","Normal value",8.32
"2012-12-31","","Normal value",7.25
"2013-01-31","","Normal value",6.24
"2013-02-28","","Normal value",6.4
"2013-03-31","","Normal value",6.1
"2013-04-30","","Normal value",6.15
"2013-05-31","","Normal value",5.46
"2013-06-30","","Normal value",6.3
"2013-07-31","","Normal value",6.87
"2013-08-31","","Normal value",6.6
"2013-09-30","","Normal value",7.06
"2013-10-31","","Normal value",6.33
"2013-11-30","","Normal value",5.98
"2013-12-31","","Normal value",6.04
"2014-01-31","","Normal value",5.21
"2014-02-28","","Normal value",4.93
"2014-03-31","","Normal value",4.43
"2014-04-30","","Normal value",3.82
"2014-05-31","","Normal value",3.66
"2014-06-30","","Normal value",3.5
"2014-07-31","","Normal value",3.69
"2014-08-31","","Normal value",3.47
"2014-09-30","","Normal value",3.18
"2014-10-31","","Normal value",3.21
"2014-11-30","","Normal value",3.13
"2014-12-31","","Normal value",2.81
"2015-01-31","","Normal value",2.49
"2015-02-28","","Normal value",2.32
"2015-03-31","","Normal value",1.74
"2015-04-30","","Normal value",1.87
"2015-05-31","","Normal value",2.41
"2015-06-30","","Normal value",2.93
"2015-07-31","","Normal value",2.74
"2015-08-31","","Normal value",2.52
"2015-09-30","","Normal value",2.59
"2015-10-31","","Normal value",2.41
"2015-11-30","","Normal value",2.57
"2015-12-31","","Normal value",2.49
"2016-01-31","","Normal value",2.71
"2016-02-29","","Normal value",3.23
"2016-03-31","","Normal value",2.84
"2016-04-30","","Normal value",3.13
"2016-05-31","","Normal value",3.15
"2016-06-30","","Normal value",3.2
"2016-07-31","","Normal value",3.06
"2016-08-31","","Normal value",2.91
"2016-09-30","","Normal value",3.26
"2016-10-31","","Normal value",3.33
"2016-11-30","","Normal value",3.51
"2016-12-31","","Normal value",3.74
"2017-01-31","","Normal value",3.95
"2017-02-28","","Normal value",4.04
"2017-03-31","","Normal value",3.99
"2017-04-30","","Normal value",3.77
"2017-05-31","","Normal value",3.29
"2017-06-30","","Normal value",2.97
"2017-07-31","","Normal value",3.02
"2017-08-31","","Normal value",2.83
"2017-09-30","","Normal value",2.63
"2017-10-31","","Normal value",2.32
"2017-11-30","","Normal value",1.98
"2017-12-31","","Normal value",1.83
"2018-01-31","","Normal value",1.85
"2018-02-28","","Normal value",2.03
"2018-03-31","","Normal value",1.79
"2018-04-30","","Normal value",1.66
"2018-05-31","","Normal value",1.84
"2018-06-30","","Normal value",1.87
"2018-07-31","","Normal value",1.76
"2018-08-31","","Normal value",1.82
"2018-09-30","","Normal value",1.88
"2018-10-31","","Normal value",1.96
"2018-11-30","","Normal value",1.91
"2018-12-31","","Normal value",1.71
"2019-01-31","","Normal value",1.67
"2019-02-28","","Normal value",1.55
"2019-03-31","","Normal value",1.32
"2019-04-30","","Normal value",1.18
"2019-05-31","","Normal value",1.02
"2019-06-30","","Normal value",0.59
"2019-07-31","","Normal value",0.44
"2019-08-31","","Normal value",0.17
"2019-09-30","","Normal value",0.2
"2019-10-31","","Normal value",0.19
"2019-11-30","","Normal value",0.35
"2019-12-31","","Normal value",0.41
"2020-01-31","","Normal value",0.37
"2020-02-29","","Normal value",0.25
"2020-03-31","","Normal value",0.71
"2020-04-30","","Normal value",0.97
"2020-05-31","","Normal value",0.81
"2020-06-30","","Normal value",0.53
"2020-07-31","","Normal value",0.4
"2020-08-31","","Normal value",0.35
"2020-09-30","","Normal value",0.32
"2020-10-31","","Normal value",0.18
"2020-11-30","","Normal value",0.07
"2020-12-31","","Normal value",0.03
"2021-01-31","","Normal value",0.03
"2021-02-28","","Normal value",0.16
"2021-03-31","","Normal value",0.23
"2021-04-30","","Normal value",0.35
"2021-05-31","","Normal value",0.53
"2021-06-30","","Normal value",0.43
"2021-07-31","","Normal value",0.27
"2021-08-31","","Normal value",0.14
"2021-09-30","","Normal value",0.26
"2021-10-31","","Normal value",0.39
"2021-11-30","","Normal value",0.39
"2021-12-31","","Normal value",0.35
"2022-01-31","","Normal value",0.58
"2022-02-28","","Normal value",1.06
"2022-03-31","","Normal value",1.16
"2022-04-30","","Normal value",1.76
"2022-05-31","","Normal value",2.14
"2022-06-30","","Normal value",2.65
"2022-07-31","","Normal value",2.26
"2022-08-31","","Normal value",2.16
"2022-09-30","","Normal value",2.89
"2022-10-31","","Normal value",3.26
"2022-11-30","","Normal value",3.02
"2022-12-31","","Normal value",3.1
"2023-01-31","","Normal value",3.13
"2023-02-28","","Normal value",3.27
"2023-03-31","","Normal value",3.27
"2023-04-30","","Normal value",3.2
