"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","5,726.11","5,762.07","5,771.73","5,726.11","71.27M","-1.24%"
"12/29/2022","5,797.76","5,718.93","5,797.76","5,704.35","99.76M","1.18%"
"12/28/2022","5,730.28","5,751.48","5,770.80","5,718.85","62.11M","-0.46%"
"12/27/2022","5,756.98","5,800.41","5,821.21","5,749.11","45.68M","-0.42%"
"12/23/2022","5,781.18","5,767.14","5,789.26","5,745.49","38.79M","0.31%"
"12/22/2022","5,763.54","5,768.96","5,809.14","5,756.27","78.11M","-0.03%"
"12/21/2022","5,765.52","5,741.05","5,767.80","5,719.75","64.88M","0.48%"
"12/20/2022","5,737.94","5,677.15","5,753.31","5,657.98","79.34M","0.57%"
"12/19/2022","5,705.30","5,689.59","5,738.17","5,686.70","52.35M","0.28%"
"12/16/2022","5,689.36","5,720.32","5,726.12","5,622.56","94.71M","-0.74%"
"12/15/2022","5,731.90","5,772.46","5,822.32","5,730.55","71.89M","-0.96%"
"12/14/2022","5,787.35","5,789.65","5,800.85","5,757.39","56.99M","-0.10%"
"12/13/2022","5,793.05","5,768.83","5,859.73","5,746.51","69.59M","0.39%"
"12/12/2022","5,770.36","5,723.44","5,784.19","5,709.98","41.76M","0.32%"
"12/09/2022","5,751.82","5,750.03","5,756.68","5,690.38","63.56M","0.11%"
"12/08/2022","5,745.57","5,779.11","5,781.61","5,729.80","43.11M","-0.93%"
"12/07/2022","5,799.67","5,838.53","5,855.07","5,799.67","49.37M","-0.91%"
"12/06/2022","5,852.78","5,850.88","5,882.96","5,839.16","48.79M","-0.22%"
"12/05/2022","5,865.47","5,837.54","5,893.93","5,817.83","67.10M","0.15%"
"12/02/2022","5,856.57","5,918.53","5,928.74","5,850.59","85.81M","-1.19%"
"12/01/2022","5,927.23","5,897.73","5,952.58","5,881.58","138.82M","1.10%"
"11/30/2022","5,862.69","5,843.79","5,868.53","5,834.89","83.43M","0.55%"
"11/29/2022","5,830.42","5,839.54","5,855.10","5,798.37","69.42M","0.20%"
"11/28/2022","5,818.76","5,861.17","5,861.32","5,803.52","68.83M","-1.01%"
"11/25/2022","5,877.95","5,882.78","5,895.45","5,853.22","89.74M","-0.04%"
"11/24/2022","5,880.12","5,882.86","5,910.95","5,875.93","50.32M","0.16%"
"11/23/2022","5,870.77","5,863.85","5,884.84","5,813.94","59.09M","0.41%"
"11/22/2022","5,846.61","5,792.28","5,861.20","5,789.24","57.80M","1.40%"
"11/21/2022","5,766.14","5,775.09","5,802.66","5,759.61","49.08M","0.00%"
"11/18/2022","5,766.02","5,752.47","5,791.92","5,732.66","67.71M","0.48%"
"11/17/2022","5,738.45","5,798.52","5,805.72","5,725.83","112.97M","-1.02%"
"11/16/2022","5,797.76","5,791.86","5,828.43","5,785.31","150.61M","-0.35%"
"11/15/2022","5,818.28","5,779.52","5,828.81","5,775.95","139.81M","0.67%"
"11/14/2022","5,779.84","5,764.56","5,800.22","5,753.40","133.95M","0.71%"
"11/11/2022","5,739.34","5,857.89","5,873.02","5,731.86","120.95M","-1.66%"
"11/10/2022","5,836.29","5,757.21","5,860.28","5,750.50","68.85M","0.80%"
"11/09/2022","5,790.16","5,776.24","5,816.84","5,734.29","60.70M","0.34%"
"11/08/2022","5,770.42","5,758.26","5,778.95","5,725.33","56.51M","0.09%"
