"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","CPI","TOT","IDX2015","M","2017-12",101.5549,
"SVK","CPI","TOT","IDX2015","M","2018-01",102.4114,
"SVK","CPI","TOT","IDX2015","M","2018-02",102.595,
"SVK","CPI","TOT","IDX2015","M","2018-03",102.7785,
"SVK","CPI","TOT","IDX2015","M","2018-04",103.3903,
"SVK","CPI","TOT","IDX2015","M","2018-05",103.3903,
"SVK","CPI","TOT","IDX2015","M","2018-06",103.5126,
"SVK","CPI","TOT","IDX2015","M","2018-07",103.3903,
"SVK","CPI","TOT","IDX2015","M","2018-08",103.635,
"SVK","CPI","TOT","IDX2015","M","2018-09",103.6962,
"SVK","CPI","TOT","IDX2015","M","2018-10",103.7573,
"SVK","CPI","TOT","IDX2015","M","2018-11",103.6962,
"SVK","CPI","TOT","IDX2015","M","2018-12",103.5738,
"SVK","CPI","TOT","IDX2015","M","2019-01",104.675,
"SVK","CPI","TOT","IDX2015","M","2019-02",104.9197,
"SVK","CPI","TOT","IDX2015","M","2019-03",105.5315,
"SVK","CPI","TOT","IDX2015","M","2019-04",105.7762,
"SVK","CPI","TOT","IDX2015","M","2019-05",106.1433,
"SVK","CPI","TOT","IDX2015","M","2019-06",106.2044,
"SVK","CPI","TOT","IDX2015","M","2019-07",106.3268,
"SVK","CPI","TOT","IDX2015","M","2019-08",106.5715,
"SVK","CPI","TOT","IDX2015","M","2019-09",106.6939,
"SVK","CPI","TOT","IDX2015","M","2019-10",106.6327,
"SVK","CPI","TOT","IDX2015","M","2019-11",106.755,
"SVK","CPI","TOT","IDX2015","M","2019-12",106.6327,
"SVK","CPI","TOT","IDX2015","M","2020-01",107.8562,
"SVK","CPI","TOT","IDX2015","M","2020-02",107.9786,
"SVK","CPI","TOT","IDX2015","M","2020-03",107.9786,
"SVK","CPI","TOT","IDX2015","M","2020-04",107.9786,
"SVK","CPI","TOT","IDX2015","M","2020-05",108.2233,
"SVK","CPI","TOT","IDX2015","M","2020-06",108.1009,
"SVK","CPI","TOT","IDX2015","M","2020-07",108.2233,
"SVK","CPI","TOT","IDX2015","M","2020-08",108.1009,
"SVK","CPI","TOT","IDX2015","M","2020-09",108.1621,
"SVK","CPI","TOT","IDX2015","M","2020-10",108.2845,
"SVK","CPI","TOT","IDX2015","M","2020-11",108.3457,
"SVK","CPI","TOT","IDX2015","M","2020-12",108.2845,
"SVK","CPI","TOT","IDX2015","M","2021-01",108.6515,
"SVK","CPI","TOT","IDX2015","M","2021-02",108.8963,
"SVK","CPI","TOT","IDX2015","M","2021-03",109.4469,
"SVK","CPI","TOT","IDX2015","M","2021-04",109.6916,
"SVK","CPI","TOT","IDX2015","M","2021-05",110.6092,
"SVK","CPI","TOT","IDX2015","M","2021-06",111.221,
"SVK","CPI","TOT","IDX2015","M","2021-07",111.7716,
"SVK","CPI","TOT","IDX2015","M","2021-08",112.1998,
"SVK","CPI","TOT","IDX2015","M","2021-09",113.1175,
"SVK","CPI","TOT","IDX2015","M","2021-10",113.7905,
"SVK","CPI","TOT","IDX2015","M","2021-11",114.4022,
"SVK","CPI","TOT","IDX2015","M","2021-12",114.5858,
"SVK","CPI","TOT","IDX2015","M","2022-01",117.7425,
"SVK","CPI","TOT","IDX2015","M","2022-02",118.7459,
"SVK","CPI","TOT","IDX2015","M","2022-03",120.8259,
"SVK","CPI","TOT","IDX2015","M","2022-04",122.5389,
"SVK","CPI","TOT","IDX2015","M","2022-05",124.4966,
"SVK","CPI","TOT","IDX2015","M","2022-06",125.9648,
"SVK","CPI","TOT","IDX2015","M","2022-07",127.0048,
"SVK","CPI","TOT","IDX2015","M","2022-08",127.9837,
"SVK","CPI","TOT","IDX2015","M","2022-09",129.1461,
"SVK","CPI","TOT","IDX2015","M","2022-10",130.7367,
"SVK","CPI","TOT","IDX2015","M","2022-11",131.9602,
"SVK","CPI","TOT","IDX2015","M","2022-12",132.2049,
