"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","334.74","334.74","334.74","334.74","","0.00%"
"12/29/2022","334.74","334.74","334.74","334.74","","0.00%"
"12/28/2022","334.74","334.74","334.74","334.74","","-1.43%"
"12/27/2022","339.60","339.60","339.60","339.60","","0.00%"
"12/23/2022","339.60","339.60","339.60","339.60","","0.00%"
"12/22/2022","339.60","339.60","339.60","339.60","","-0.67%"
"12/21/2022","341.88","341.88","341.88","341.88","","0.00%"
"12/20/2022","341.88","341.88","341.88","341.88","","0.42%"
"12/19/2022","340.45","340.45","340.45","340.45","","0.00%"
"12/16/2022","340.45","340.45","340.45","340.45","","1.71%"
"12/15/2022","334.74","334.74","334.74","334.74","","-1.60%"
"12/14/2022","340.17","340.17","340.17","340.17","","0.00%"
"12/13/2022","340.17","340.17","340.17","340.17","","0.00%"
"12/12/2022","340.17","340.17","340.17","340.17","","-0.50%"
"12/09/2022","341.88","341.88","341.88","341.88","","0.00%"
"12/08/2022","341.88","341.88","341.88","341.88","","0.00%"
"12/07/2022","341.88","341.88","341.88","341.88","","0.00%"
"12/06/2022","341.88","341.88","341.88","341.88","","0.00%"
"12/05/2022","341.88","341.88","341.88","341.88","","0.00%"
"12/02/2022","341.88","341.88","341.88","341.88","","1.53%"
"12/01/2022","336.74","336.74","336.74","336.74","","0.17%"
"11/30/2022","336.17","336.17","336.17","336.17","","0.00%"
"11/29/2022","336.17","336.17","336.17","336.17","","0.00%"
"11/28/2022","336.17","336.17","336.17","336.17","","0.00%"
"11/25/2022","336.17","336.17","336.17","336.17","","1.51%"
"11/24/2022","331.17","331.17","331.17","331.17","","0.00%"
"11/23/2022","331.17","331.17","331.17","331.17","","0.00%"
"11/22/2022","331.17","331.17","331.17","331.17","","0.00%"
"11/21/2022","331.17","331.17","331.17","331.17","","0.00%"
"11/18/2022","331.17","331.17","331.17","331.17","","0.00%"
"11/16/2022","331.17","331.17","331.17","331.17","","0.00%"
"11/15/2022","331.17","331.17","331.17","331.17","","-1.90%"
"11/14/2022","337.60","337.60","337.60","337.60","","0.00%"
"11/11/2022","337.60","337.60","337.60","337.60","","0.00%"
"11/10/2022","337.60","337.60","337.60","337.60","","0.00%"
"11/09/2022","337.60","337.60","337.60","337.60","","0.77%"
"11/08/2022","335.03","335.03","335.03","335.03","","-0.76%"
"11/07/2022","337.60","336.17","337.60","336.17","","1.31%"
"11/04/2022","333.25","333.25","333.25","333.25","","0.00%"
"11/03/2022","333.25","333.25","333.25","333.25","","-1.69%"
"11/02/2022","338.97","338.97","338.97","338.97","","1.02%"
"10/31/2022","335.54","336.11","336.11","335.54","","-0.01%"
"10/28/2022","335.57","337.54","337.54","335.57","","-0.83%"
