"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","CPI","TOT","IDX2015","M","2017-12",102.01,
"SVN","CPI","TOT","IDX2015","M","2018-01",101.18,
"SVN","CPI","TOT","IDX2015","M","2018-02",101.87,
"SVN","CPI","TOT","IDX2015","M","2018-03",102.16,
"SVN","CPI","TOT","IDX2015","M","2018-04",102.86,
"SVN","CPI","TOT","IDX2015","M","2018-05",104.07,
"SVN","CPI","TOT","IDX2015","M","2018-06",104.07,
"SVN","CPI","TOT","IDX2015","M","2018-07",103.12,
"SVN","CPI","TOT","IDX2015","M","2018-08",103.2,
"SVN","CPI","TOT","IDX2015","M","2018-09",103.63,
"SVN","CPI","TOT","IDX2015","M","2018-10",103.96,
"SVN","CPI","TOT","IDX2015","M","2018-11",104.06,
"SVN","CPI","TOT","IDX2015","M","2018-12",103.46,
"SVN","CPI","TOT","IDX2015","M","2019-01",102.32,
"SVN","CPI","TOT","IDX2015","M","2019-02",103.11,
"SVN","CPI","TOT","IDX2015","M","2019-03",103.83,
"SVN","CPI","TOT","IDX2015","M","2019-04",104.64,
"SVN","CPI","TOT","IDX2015","M","2019-05",105.56,
"SVN","CPI","TOT","IDX2015","M","2019-06",105.93,
"SVN","CPI","TOT","IDX2015","M","2019-07",105.18,
"SVN","CPI","TOT","IDX2015","M","2019-08",105.57,
"SVN","CPI","TOT","IDX2015","M","2019-09",105.37,
"SVN","CPI","TOT","IDX2015","M","2019-10",105.44,
"SVN","CPI","TOT","IDX2015","M","2019-11",105.52,
"SVN","CPI","TOT","IDX2015","M","2019-12",105.35,
"SVN","CPI","TOT","IDX2015","M","2020-01",104.45,
"SVN","CPI","TOT","IDX2015","M","2020-02",105.14,
"SVN","CPI","TOT","IDX2015","M","2020-03",104.32,
"SVN","CPI","TOT","IDX2015","M","2020-04",103.36,
"SVN","CPI","TOT","IDX2015","M","2020-05",104.26,
"SVN","CPI","TOT","IDX2015","M","2020-06",105.6,
"SVN","CPI","TOT","IDX2015","M","2020-07",105.48,
"SVN","CPI","TOT","IDX2015","M","2020-08",105.42,
"SVN","CPI","TOT","IDX2015","M","2020-09",105.01,
"SVN","CPI","TOT","IDX2015","M","2020-10",105.34,
"SVN","CPI","TOT","IDX2015","M","2020-11",104.54,
"SVN","CPI","TOT","IDX2015","M","2020-12",104.21,
"SVN","CPI","TOT","IDX2015","M","2021-01",103.76,
"SVN","CPI","TOT","IDX2015","M","2021-02",104.06,
"SVN","CPI","TOT","IDX2015","M","2021-03",104.41,
"SVN","CPI","TOT","IDX2015","M","2021-04",105.5,
"SVN","CPI","TOT","IDX2015","M","2021-05",106.48,
"SVN","CPI","TOT","IDX2015","M","2021-06",107.1,
"SVN","CPI","TOT","IDX2015","M","2021-07",107.54,
"SVN","CPI","TOT","IDX2015","M","2021-08",107.64,
"SVN","CPI","TOT","IDX2015","M","2021-09",107.58,
"SVN","CPI","TOT","IDX2015","M","2021-10",108.55,
"SVN","CPI","TOT","IDX2015","M","2021-11",109.31,
"SVN","CPI","TOT","IDX2015","M","2021-12",109.3,
"SVN","CPI","TOT","IDX2015","M","2022-01",109.73,
"SVN","CPI","TOT","IDX2015","M","2022-02",111.24,
"SVN","CPI","TOT","IDX2015","M","2022-03",110.01,
"SVN","CPI","TOT","IDX2015","M","2022-04",112.83,
"SVN","CPI","TOT","IDX2015","M","2022-05",115.12,
"SVN","CPI","TOT","IDX2015","M","2022-06",118.27,
"SVN","CPI","TOT","IDX2015","M","2022-07",119.41,
"SVN","CPI","TOT","IDX2015","M","2022-08",119.44,
"SVN","CPI","TOT","IDX2015","M","2022-09",118.34,
"SVN","CPI","TOT","IDX2015","M","2022-10",119.24,
"SVN","CPI","TOT","IDX2015","M","2022-11",120.27,
"SVN","CPI","TOT","IDX2015","M","2022-12",120.51,
