"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XLJU","SBITOP","SI0026109882","2022-12-30",1050.59,1058.79,1045.41,1046.13,-0.41,1592130.60
"XLJU","SBITOP","SI0026109882","2022-12-29",1058.22,1058.90,1048.37,1050.41,-0.55,940048.50
"XLJU","SBITOP","SI0026109882","2022-12-28",1066.26,1066.26,1056.17,1056.17,-1.14,1077234.80
"XLJU","SBITOP","SI0026109882","2022-12-27",1069.35,1073.35,1066.68,1068.31,-0.11,773919.90
"XLJU","SBITOP","SI0026109882","2022-12-23",1066.27,1069.53,1062.36,1069.53,0.37,536118.70
"XLJU","SBITOP","SI0026109882","2022-12-22",1065.02,1069.06,1061.07,1065.59,0.05,1832222.40
"XLJU","SBITOP","SI0026109882","2022-12-21",1058.68,1065.02,1054.76,1065.02,0.62,791591.50
"XLJU","SBITOP","SI0026109882","2022-12-20",1060.00,1060.58,1051.81,1058.50,-0.14,1430940.70
"XLJU","SBITOP","SI0026109882","2022-12-19",1065.35,1066.89,1058.56,1060.00,-0.22,970616.70
"XLJU","SBITOP","SI0026109882","2022-12-16",1072.85,1072.85,1060.32,1062.38,-1.11,1283008.90
"XLJU","SBITOP","SI0026109882","2022-12-15",1072.53,1076.51,1071.44,1074.28,0.24,1511185.70
"XLJU","SBITOP","SI0026109882","2022-12-14",1076.30,1078.53,1070.30,1071.75,-0.42,919045.90
"XLJU","SBITOP","SI0026109882","2022-12-13",1080.04,1080.82,1073.37,1076.30,-0.44,580583.50
"XLJU","SBITOP","SI0026109882","2022-12-12",1078.48,1084.08,1073.20,1081.01,0.23,899320.40
"XLJU","SBITOP","SI0026109882","2022-12-09",1071.63,1079.81,1071.20,1078.48,0.70,970803.40
"XLJU","SBITOP","SI0026109882","2022-12-08",1073.32,1076.17,1070.20,1070.95,-0.24,722333.90
"XLJU","SBITOP","SI0026109882","2022-12-07",1068.57,1076.53,1066.28,1073.54,0.50,1101557.00
"XLJU","SBITOP","SI0026109882","2022-12-06",1067.35,1068.90,1063.71,1068.21,0.08,449031.90
"XLJU","SBITOP","SI0026109882","2022-12-05",1072.03,1073.87,1065.06,1067.35,-0.37,625206.10
"XLJU","SBITOP","SI0026109882","2022-12-02",1072.38,1072.75,1067.89,1071.35,-0.10,467098.20
"XLJU","SBITOP","SI0026109882","2022-12-01",1061.89,1074.85,1061.89,1072.38,1.01,1550796.60
"XLJU","SBITOP","SI0026109882","2022-11-30",1064.56,1070.59,1061.14,1061.66,-0.59,1362740.70
"XLJU","SBITOP","SI0026109882","2022-11-29",1053.89,1070.70,1053.89,1067.97,1.40,1392954.90
"XLJU","SBITOP","SI0026109882","2022-11-28",1066.05,1070.52,1051.14,1053.19,-1.27,967579.50
"XLJU","SBITOP","SI0026109882","2022-11-25",1069.93,1073.68,1066.12,1066.73,-0.30,635077.50
"XLJU","SBITOP","SI0026109882","2022-11-24",1069.40,1075.92,1066.95,1069.93,-0.21,574637.00
"XLJU","SBITOP","SI0026109882","2022-11-23",1073.23,1078.23,1070.04,1072.13,-0.10,707965.60
"XLJU","SBITOP","SI0026109882","2022-11-22",1088.48,1088.48,1072.15,1073.23,-1.49,972868.30
"XLJU","SBITOP","SI0026109882","2022-11-21",1099.26,1108.00,1089.44,1089.44,-0.89,1264096.00
"XLJU","SBITOP","SI0026109882","2022-11-18",1090.72,1103.90,1090.72,1099.26,0.73,978812.30
"XLJU","SBITOP","SI0026109882","2022-11-17",1077.89,1094.17,1077.89,1091.27,1.24,1198516.10
"XLJU","SBITOP","SI0026109882","2022-11-16",1075.29,1080.49,1072.98,1077.89,0.28,1169480.50
"XLJU","SBITOP","SI0026109882","2022-11-15",1059.96,1075.59,1059.96,1074.91,1.41,1519219.50
"XLJU","SBITOP","SI0026109882","2022-11-14",1042.69,1060.57,1042.69,1059.96,1.66,978836.30
"XLJU","SBITOP","SI0026109882","2022-11-11",1023.74,1045.26,1023.74,1042.69,1.85,3273408.30
"XLJU","SBITOP","SI0026109882","2022-11-10",1001.50,1024.35,1001.50,1023.74,2.22,2116814.80
"XLJU","SBITOP","SI0026109882","2022-11-09",1005.47,1009.41,1000.07,1001.50,-0.47,1334148.80
"XLJU","SBITOP","SI0026109882","2022-11-08",1001.81,1007.31,1000.65,1006.25,0.55,965218.20
"XLJU","SBITOP","SI0026109882","2022-11-07",1006.21,1007.43,1000.74,1000.74,-0.36,1249506.30
"XLJU","SBITOP","SI0026109882","2022-11-04",1007.10,1013.35,1001.16,1004.37,-0.21,941378.10
"XLJU","SBITOP","SI0026109882","2022-11-03",1014.19,1015.57,1005.47,1006.44,-0.70,1053717.30
"XLJU","SBITOP","SI0026109882","2022-11-02",1021.20,1022.42,1013.12,1013.58,-0.32,1507328.00
"XLJU","SBITOP","SI0026109882","2022-10-28",1023.84,1024.17,1016.36,1016.87,-0.54,1208110.40
"XLJU","SBITOP","SI0026109882","2022-10-27",1020.05,1024.58,1018.90,1022.41,0.50,1302590.80
"XLJU","SBITOP","SI0026109882","2022-10-26",1003.29,1025.40,1003.29,1017.31,1.40,743732.60
"XLJU","SBITOP","SI0026109882","2022-10-25",993.72,1004.05,993.72,1003.29,1.17,1163697.00
"XLJU","SBITOP","SI0026109882","2022-10-24",992.20,996.92,990.83,991.67,-0.13,1917447.00
"XLJU","SBITOP","SI0026109882","2022-10-21",995.41,995.72,988.97,992.98,0.14,292819.00
"XLJU","SBITOP","SI0026109882","2022-10-20",983.83,991.98,983.83,991.56,0.83,696644.50
"XLJU","SBITOP","SI0026109882","2022-10-19",984.80,988.21,980.59,983.44,-0.25,1082779.20
"XLJU","SBITOP","SI0026109882","2022-10-18",983.09,989.66,982.76,985.87,0.36,1032432.10
"XLJU","SBITOP","SI0026109882","2022-10-17",989.73,1003.39,982.36,982.36,-0.61,737672.00
"XLJU","SBITOP","SI0026109882","2022-10-14",978.67,993.34,978.67,988.36,1.14,1628128.90
"XLJU","SBITOP","SI0026109882","2022-10-13",980.36,984.16,976.72,977.24,-0.13,1239926.80
"XLJU","SBITOP","SI0026109882","2022-10-12",971.91,981.08,970.54,978.53,0.68,299867.90
"XLJU","SBITOP","SI0026109882","2022-10-11",982.26,984.92,970.75,971.91,-1.05,1119826.90
"XLJU","SBITOP","SI0026109882","2022-10-10",982.47,985.92,981.69,982.26,-0.05,848031.50
"XLJU","SBITOP","SI0026109882","2022-10-07",985.78,994.40,982.65,982.80,-0.30,1322660.20
"XLJU","SBITOP","SI0026109882","2022-10-06",979.18,992.36,979.18,985.78,0.64,1649125.40
"XLJU","SBITOP","SI0026109882","2022-10-05",970.06,982.23,970.06,979.51,1.00,2361415.30
"XLJU","SBITOP","SI0026109882","2022-10-04",953.46,969.83,953.46,969.83,1.87,1644280.70
"XLJU","SBITOP","SI0026109882","2022-10-03",963.06,972.62,951.21,952.01,-1.03,1184550.00
"XLJU","SBITOP","SI0026109882","2022-09-30",957.50,966.08,953.42,961.90,0.46,1973282.60
"XLJU","SBITOP","SI0026109882","2022-09-29",967.78,973.92,948.94,957.50,-1.01,1665835.30
"XLJU","SBITOP","SI0026109882","2022-09-28",989.58,989.58,958.27,967.31,-2.18,2307362.60
"XLJU","SBITOP","SI0026109882","2022-09-27",995.41,1007.70,985.20,988.90,-0.62,2410993.35
