"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","HUR","TOT","PC_LF","M","2017-12",5.7,
"SVN","HUR","TOT","PC_LF","M","2018-01",5.6,
"SVN","HUR","TOT","PC_LF","M","2018-02",5.6,
"SVN","HUR","TOT","PC_LF","M","2018-03",5.5,
"SVN","HUR","TOT","PC_LF","M","2018-04",5.4,
"SVN","HUR","TOT","PC_LF","M","2018-05",5.3,
"SVN","HUR","TOT","PC_LF","M","2018-06",5.3,
"SVN","HUR","TOT","PC_LF","M","2018-07",5.2,
"SVN","HUR","TOT","PC_LF","M","2018-08",5.1,
"SVN","HUR","TOT","PC_LF","M","2018-09",4.9,
"SVN","HUR","TOT","PC_LF","M","2018-10",4.6,
"SVN","HUR","TOT","PC_LF","M","2018-11",4.4,
"SVN","HUR","TOT","PC_LF","M","2018-12",4.4,
"SVN","HUR","TOT","PC_LF","M","2019-01",4.6,
"SVN","HUR","TOT","PC_LF","M","2019-02",4.6,
"SVN","HUR","TOT","PC_LF","M","2019-03",4.5,
"SVN","HUR","TOT","PC_LF","M","2019-04",4.3,
"SVN","HUR","TOT","PC_LF","M","2019-05",4.3,
"SVN","HUR","TOT","PC_LF","M","2019-06",4.4,
"SVN","HUR","TOT","PC_LF","M","2019-07",4.8,
"SVN","HUR","TOT","PC_LF","M","2019-08",4.9,
"SVN","HUR","TOT","PC_LF","M","2019-09",4.7,
"SVN","HUR","TOT","PC_LF","M","2019-10",4.3,
"SVN","HUR","TOT","PC_LF","M","2019-11",4,
"SVN","HUR","TOT","PC_LF","M","2019-12",4,
"SVN","HUR","TOT","PC_LF","M","2020-01",4.2,
"SVN","HUR","TOT","PC_LF","M","2020-02",4.3,
"SVN","HUR","TOT","PC_LF","M","2020-03",4.5,
"SVN","HUR","TOT","PC_LF","M","2020-04",5.2,
"SVN","HUR","TOT","PC_LF","M","2020-05",5.4,
"SVN","HUR","TOT","PC_LF","M","2020-06",5.3,
"SVN","HUR","TOT","PC_LF","M","2020-07",5.2,
"SVN","HUR","TOT","PC_LF","M","2020-08",5.1,
"SVN","HUR","TOT","PC_LF","M","2020-09",5,
"SVN","HUR","TOT","PC_LF","M","2020-10",5,
"SVN","HUR","TOT","PC_LF","M","2020-11",5.2,
"SVN","HUR","TOT","PC_LF","M","2020-12",5.4,
"SVN","HUR","TOT","PC_LF","M","2021-01",5.6,
"SVN","HUR","TOT","PC_LF","M","2021-02",5.5,
"SVN","HUR","TOT","PC_LF","M","2021-03",5.2,
"SVN","HUR","TOT","PC_LF","M","2021-04",4.8,
"SVN","HUR","TOT","PC_LF","M","2021-05",4.5,
"SVN","HUR","TOT","PC_LF","M","2021-06",4.3,
"SVN","HUR","TOT","PC_LF","M","2021-07",4.4,
"SVN","HUR","TOT","PC_LF","M","2021-08",4.5,
"SVN","HUR","TOT","PC_LF","M","2021-09",4.6,
"SVN","HUR","TOT","PC_LF","M","2021-10",4.7,
"SVN","HUR","TOT","PC_LF","M","2021-11",4.7,
"SVN","HUR","TOT","PC_LF","M","2021-12",4.5,
"SVN","HUR","TOT","PC_LF","M","2022-01",4.2,
"SVN","HUR","TOT","PC_LF","M","2022-02",4.1,
"SVN","HUR","TOT","PC_LF","M","2022-03",4.2,
"SVN","HUR","TOT","PC_LF","M","2022-04",4.4,
"SVN","HUR","TOT","PC_LF","M","2022-05",4.5,
"SVN","HUR","TOT","PC_LF","M","2022-06",4.3,
"SVN","HUR","TOT","PC_LF","M","2022-07",4.1,
"SVN","HUR","TOT","PC_LF","M","2022-08",4,
"SVN","HUR","TOT","PC_LF","M","2022-09",3.8,
"SVN","HUR","TOT","PC_LF","M","2022-10",3.7,
"SVN","HUR","TOT","PC_LF","M","2022-11",3.6,
"SVN","HUR","TOT","PC_LF","M","2022-12",3.4,
