"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","CPI","TOT","IDX2015","M","2017-12",102.9744,
"ESP","CPI","TOT","IDX2015","M","2018-01",101.8642,
"ESP","CPI","TOT","IDX2015","M","2018-02",102.0013,
"ESP","CPI","TOT","IDX2015","M","2018-03",102.1212,
"ESP","CPI","TOT","IDX2015","M","2018-04",102.9647,
"ESP","CPI","TOT","IDX2015","M","2018-05",103.8929,
"ESP","CPI","TOT","IDX2015","M","2018-06",104.1648,
"ESP","CPI","TOT","IDX2015","M","2018-07",103.4176,
"ESP","CPI","TOT","IDX2015","M","2018-08",103.5653,
"ESP","CPI","TOT","IDX2015","M","2018-09",103.818,
"ESP","CPI","TOT","IDX2015","M","2018-10",104.7782,
"ESP","CPI","TOT","IDX2015","M","2018-11",104.6637,
"ESP","CPI","TOT","IDX2015","M","2018-12",104.1937,
"ESP","CPI","TOT","IDX2015","M","2019-01",102.862,
"ESP","CPI","TOT","IDX2015","M","2019-02",103.1135,
"ESP","CPI","TOT","IDX2015","M","2019-03",103.4872,
"ESP","CPI","TOT","IDX2015","M","2019-04",104.5309,
"ESP","CPI","TOT","IDX2015","M","2019-05",104.7343,
"ESP","CPI","TOT","IDX2015","M","2019-06",104.6112,
"ESP","CPI","TOT","IDX2015","M","2019-07",103.9625,
"ESP","CPI","TOT","IDX2015","M","2019-08",103.9047,
"ESP","CPI","TOT","IDX2015","M","2019-09",103.9047,
"ESP","CPI","TOT","IDX2015","M","2019-10",104.9131,
"ESP","CPI","TOT","IDX2015","M","2019-11",105.0908,
"ESP","CPI","TOT","IDX2015","M","2019-12",105.0148,
"ESP","CPI","TOT","IDX2015","M","2020-01",103.9903,
"ESP","CPI","TOT","IDX2015","M","2020-02",103.8672,
"ESP","CPI","TOT","IDX2015","M","2020-03",103.469,
"ESP","CPI","TOT","IDX2015","M","2020-04",103.7816,
"ESP","CPI","TOT","IDX2015","M","2020-05",103.7751,
"ESP","CPI","TOT","IDX2015","M","2020-06",104.2537,
"ESP","CPI","TOT","IDX2015","M","2020-07",103.318,
"ESP","CPI","TOT","IDX2015","M","2020-08",103.3651,
"ESP","CPI","TOT","IDX2015","M","2020-09",103.5204,
"ESP","CPI","TOT","IDX2015","M","2020-10",104.0642,
"ESP","CPI","TOT","IDX2015","M","2020-11",104.2344,
"ESP","CPI","TOT","IDX2015","M","2020-12",104.456,
"ESP","CPI","TOT","IDX2015","M","2021-01",104.4656,
"ESP","CPI","TOT","IDX2015","M","2021-02",103.8501,
"ESP","CPI","TOT","IDX2015","M","2021-03",104.8574,
"ESP","CPI","TOT","IDX2015","M","2021-04",106.095,
"ESP","CPI","TOT","IDX2015","M","2021-05",106.5949,
"ESP","CPI","TOT","IDX2015","M","2021-06",107.1023,
"ESP","CPI","TOT","IDX2015","M","2021-07",106.2952,
"ESP","CPI","TOT","IDX2015","M","2021-08",106.778,
"ESP","CPI","TOT","IDX2015","M","2021-09",107.6687,
"ESP","CPI","TOT","IDX2015","M","2021-10",109.6491,
"ESP","CPI","TOT","IDX2015","M","2021-11",109.9842,
"ESP","CPI","TOT","IDX2015","M","2021-12",111.2978,
"ESP","CPI","TOT","IDX2015","M","2022-01",110.8717,
"ESP","CPI","TOT","IDX2015","M","2022-02",111.7667,
"ESP","CPI","TOT","IDX2015","M","2022-03",115.1527,
"ESP","CPI","TOT","IDX2015","M","2022-04",114.9483,
"ESP","CPI","TOT","IDX2015","M","2022-05",115.8978,
"ESP","CPI","TOT","IDX2015","M","2022-06",118.0443,
"ESP","CPI","TOT","IDX2015","M","2022-07",117.7434,
"ESP","CPI","TOT","IDX2015","M","2022-08",118.0421,
"ESP","CPI","TOT","IDX2015","M","2022-09",117.221,
"ESP","CPI","TOT","IDX2015","M","2022-10",117.615,
"ESP","CPI","TOT","IDX2015","M","2022-11",117.4737,
"ESP","CPI","TOT","IDX2015","M","2022-12",117.6503,
