"date","conf","status1","s1"
"1993-01-31","","Normal value",12.15
"1993-02-28","","Normal value",11.43
"1993-03-31","","Normal value",11.36
"1993-04-30","","Normal value",11.49
"1993-05-31","","Normal value",11.22
"1993-06-30","","Normal value",10.56
"1993-07-31","","Normal value",10.22
"1993-08-31","","Normal value",9.48
"1993-09-30","","Normal value",9.09
"1993-10-31","","Normal value",8.69
"1993-11-30","","Normal value",8.56
"1993-12-31","","Normal value",8.28
"1994-01-31","","Normal value",7.98
"1994-02-28","","Normal value",8.07
"1994-03-31","","Normal value",8.82
"1994-04-30","","Normal value",9.07
"1994-05-31","","Normal value",9.55
"1994-06-30","","Normal value",10.28
"1994-07-31","","Normal value",10.59
"1994-08-31","","Normal value",10.68
"1994-09-30","","Normal value",11.22
"1994-10-31","","Normal value",11.13
"1994-11-30","","Normal value",11.17
"1994-12-31","","Normal value",11.38
"1995-01-31","","Normal value",11.86
"1995-02-28","","Normal value",11.6
"1995-03-31","","Normal value",12.26
"1995-04-30","","Normal value",12.09
"1995-05-31","","Normal value",11.41
"1995-06-30","","Normal value",11.54
"1995-07-31","","Normal value",11.33
"1995-08-31","","Normal value",10.97
"1995-09-30","","Normal value",10.8
"1995-10-31","","Normal value",10.89
"1995-11-30","","Normal value",10.54
"1995-12-31","","Normal value",9.95
"1996-01-31","","Normal value",9.46
"1996-02-29","","Normal value",9.71
"1996-03-31","","Normal value",9.89
"1996-04-30","","Normal value",9.33
"1996-05-31","","Normal value",9.17
"1996-06-30","","Normal value",9.11
"1996-07-31","","Normal value",8.78
"1996-08-31","","Normal value",8.86
"1996-09-30","","Normal value",8.43
"1996-10-31","","Normal value",7.76
"1996-11-30","","Normal value",7.34
"1996-12-31","","Normal value",7
"1997-01-31","","Normal value",6.83
"1997-02-28","","Normal value",6.74
"1997-03-31","","Normal value",7.03
"1997-04-30","","Normal value",6.95
"1997-05-31","","Normal value",6.61
"1997-06-30","","Normal value",6.47
"1997-07-31","","Normal value",6.21
"1997-08-31","","Normal value",6.31
"1997-09-30","","Normal value",6.09
"1997-10-31","","Normal value",5.97
"1997-11-30","","Normal value",5.96
"1997-12-31","","Normal value",5.64
"1998-01-31","","Normal value",5.4
"1998-02-28","","Normal value",5.24
"1998-03-31","","Normal value",5.09
"1998-04-30","","Normal value",5.06
"1998-05-31","","Normal value",5.13
"1998-06-30","","Normal value",5.02
"1998-07-31","","Normal value",4.94
"1998-08-31","","Normal value",4.74
"1998-09-30","","Normal value",4.47
"1998-10-31","","Normal value",4.43
"1998-11-30","","Normal value",4.41
"1998-12-31","","Normal value",4.07
"1999-01-31","","Normal value",3.88
"1999-02-28","","Normal value",4.02
"1999-03-31","","Normal value",4.25
"1999-04-30","","Normal value",4.08
"1999-05-31","","Normal value",4.28
"1999-06-30","","Normal value",4.61
"1999-07-31","","Normal value",4.91
"1999-08-31","","Normal value",5.17
"1999-09-30","","Normal value",5.32
"1999-10-31","","Normal value",5.56
"1999-11-30","","Normal value",5.28
"1999-12-31","","Normal value",5.37
"2000-01-31","","Normal value",5.76
"2000-02-29","","Normal value",5.73
"2000-03-31","","Normal value",5.55
"2000-04-30","","Normal value",5.45
"2000-05-31","","Normal value",5.63
"2000-06-30","","Normal value",5.45
"2000-07-31","","Normal value",5.53
"2000-08-31","","Normal value",5.5
"2000-09-30","","Normal value",5.56
"2000-10-31","","Normal value",5.5
"2000-11-30","","Normal value",5.45
"2000-12-31","","Normal value",5.2
"2001-01-31","","Normal value",5.08
"2001-02-28","","Normal value",5.12
"2001-03-31","","Normal value",5.04
"2001-04-30","","Normal value",5.18
"2001-05-31","","Normal value",5.36
"2001-06-30","","Normal value",5.33
"2001-07-31","","Normal value",5.35
"2001-08-31","","Normal value",5.16
"2001-09-30","","Normal value",5.14
"2001-10-31","","Normal value",4.91
"2001-11-30","","Normal value",4.76
"2001-12-31","","Normal value",4.97
"2002-01-31","","Normal value",5.05
"2002-02-28","","Normal value",5.11
"2002-03-31","","Normal value",5.34
"2002-04-30","","Normal value",5.33
"2002-05-31","","Normal value",5.36
"2002-06-30","","Normal value",5.23
"2002-07-31","","Normal value",5.07
"2002-08-31","","Normal value",4.78
"2002-09-30","","Normal value",4.57
"2002-10-31","","Normal value",4.63
"2002-11-30","","Normal value",4.6
"2002-12-31","","Normal value",4.42
"2003-01-31","","Normal value",4.24
"2003-02-28","","Normal value",4.01
"2003-03-31","","Normal value",4.04
"2003-04-30","","Normal value",4.19
"2003-05-31","","Normal value",3.88
"2003-06-30","","Normal value",3.69
"2003-07-31","","Normal value",4.03
"2003-08-31","","Normal value",4.19
"2003-09-30","","Normal value",4.21
"2003-10-31","","Normal value",4.27
"2003-11-30","","Normal value",4.4
"2003-12-31","","Normal value",4.34
"2004-01-31","","Normal value",4.19
"2004-02-29","","Normal value",4.14
"2004-03-31","","Normal value",4.01
"2004-04-30","","Normal value",4.2
"2004-05-31","","Normal value",4.33
"2004-06-30","","Normal value",4.39
"2004-07-31","","Normal value",4.28
"2004-08-31","","Normal value",4.15
"2004-09-30","","Normal value",4.08
"2004-10-31","","Normal value",3.97
"2004-11-30","","Normal value",3.85
"2004-12-31","","Normal value",3.64
"2005-01-31","","Normal value",3.59
"2005-02-28","","Normal value",3.58
"2005-03-31","","Normal value",3.74
"2005-04-30","","Normal value",3.53
"2005-05-31","","Normal value",3.36
"2005-06-30","","Normal value",3.18
"2005-07-31","","Normal value",3.22
"2005-08-31","","Normal value",3.23
"2005-09-30","","Normal value",3.09
"2005-10-31","","Normal value",3.28
"2005-11-30","","Normal value",3.48
"2005-12-31","","Normal value",3.37
"2006-01-31","","Normal value",3.33
"2006-02-28","","Normal value",3.48
"2006-03-31","","Normal value",3.65
"2006-04-30","","Normal value",3.92
"2006-05-31","","Normal value",3.99
"2006-06-30","","Normal value",3.99
"2006-07-31","","Normal value",4.02
"2006-08-31","","Normal value",3.89
"2006-09-30","","Normal value",3.76
"2006-10-31","","Normal value",3.81
"2006-11-30","","Normal value",3.75
"2006-12-31","","Normal value",3.82
"2007-01-31","","Normal value",4.07
"2007-02-28","","Normal value",4.1
"2007-03-31","","Normal value",4.01
"2007-04-30","","Normal value",4.21
"2007-05-31","","Normal value",4.34
"2007-06-30","","Normal value",4.62
